Step 0 | Time: 0.000s | Pos: (640.1, 359.7) | Vel: (6.7, -19.5) | Orient: 0.92 rad | AngVel: 36.82 | Speed: 20.6 | DistToTarget: 338.9 | Colliding: False | NearestObstacle: 103.2
Step 1 | Time: 0.017s | Pos: (640.3, 359.1) | Vel: (11.2, -36.9) | Orient: 1.70 rad | AngVel: 47.18 | Speed: 38.6 | DistToTarget: 339.4 | Colliding: False | NearestObstacle: 103.8
Step 2 | Time: 0.033s | Pos: (640.5, 358.2) | Vel: (13.3, -51.6) | Orient: 2.37 rad | AngVel: 39.76 | Speed: 53.3 | DistToTarget: 340.1 | Colliding: False | NearestObstacle: 104.7
Step 3 | Time: 0.050s | Pos: (640.7, 357.2) | Vel: (13.0, -63.0) | Orient: 2.78 rad | AngVel: 24.58 | Speed: 64.3 | DistToTarget: 340.9 | Colliding: False | NearestObstacle: 105.8
Step 4 | Time: 0.067s | Pos: (640.9, 356.0) | Vel: (10.2, -71.0) | Orient: 2.93 rad | AngVel: 9.28 | Speed: 71.7 | DistToTarget: 341.7 | Colliding: False | NearestObstacle: 106.9
Step 5 | Time: 0.083s | Pos: (641.0, 354.7) | Vel: (5.1, -75.7) | Orient: 2.90 rad | AngVel: -1.92 | Speed: 75.9 | DistToTarget: 342.6 | Colliding: False | NearestObstacle: 108.1
Step 6 | Time: 0.100s | Pos: (641.0, 353.4) | Vel: (-2.0, -77.6) | Orient: 2.77 rad | AngVel: -7.77 | Speed: 77.6 | DistToTarget: 343.3 | Colliding: False | NearestObstacle: 109.3
Step 7 | Time: 0.117s | Pos: (640.8, 352.1) | Vel: (-11.0, -76.9) | Orient: 2.62 rad | AngVel: -8.97 | Speed: 77.6 | DistToTarget: 343.9 | Colliding: False | NearestObstacle: 110.5
Step 8 | Time: 0.133s | Pos: (640.4, 350.9) | Vel: (-21.8, -73.9) | Orient: 2.50 rad | AngVel: -7.21 | Speed: 77.1 | DistToTarget: 344.4 | Colliding: False | NearestObstacle: 111.5
Step 9 | Time: 0.150s | Pos: (639.8, 349.7) | Vel: (-34.0, -69.1) | Orient: 2.43 rad | AngVel: -4.28 | Speed: 77.0 | DistToTarget: 344.6 | Colliding: False | NearestObstacle: 112.3
Step 10 | Time: 0.167s | Pos: (639.1, 348.7) | Vel: (-47.6, -62.5) | Orient: 2.40 rad | AngVel: -1.51 | Speed: 78.6 | DistToTarget: 344.6 | Colliding: False | NearestObstacle: 113.0
Step 11 | Time: 0.183s | Pos: (638.0, 347.8) | Vel: (-62.4, -54.4) | Orient: 2.41 rad | AngVel: 0.41 | Speed: 82.8 | DistToTarget: 344.4 | Colliding: False | NearestObstacle: 113.6
Step 12 | Time: 0.200s | Pos: (636.7, 347.1) | Vel: (-77.9, -44.9) | Orient: 2.43 rad | AngVel: 1.32 | Speed: 89.9 | DistToTarget: 343.8 | Colliding: False | NearestObstacle: 113.8
Step 13 | Time: 0.217s | Pos: (635.2, 346.5) | Vel: (-93.7, -34.2) | Orient: 2.46 rad | AngVel: 1.39 | Speed: 99.7 | DistToTarget: 342.9 | Colliding: False | NearestObstacle: 113.9
Step 14 | Time: 0.233s | Pos: (633.3, 346.1) | Vel: (-109.3, -22.6) | Orient: 2.47 rad | AngVel: 0.98 | Speed: 111.7 | DistToTarget: 341.7 | Colliding: False | NearestObstacle: 113.7
Step 15 | Time: 0.250s | Pos: (631.3, 345.9) | Vel: (-124.3, -10.5) | Orient: 2.48 rad | AngVel: 0.40 | Speed: 124.7 | DistToTarget: 340.2 | Colliding: False | NearestObstacle: 113.3
Step 16 | Time: 0.267s | Pos: (629.0, 346.0) | Vel: (-138.0, 1.5) | Orient: 2.48 rad | AngVel: -0.11 | Speed: 138.0 | DistToTarget: 338.4 | Colliding: False | NearestObstacle: 112.6
Step 17 | Time: 0.283s | Pos: (626.5, 346.2) | Vel: (-150.3, 13.2) | Orient: 2.47 rad | AngVel: -0.44 | Speed: 150.8 | DistToTarget: 336.3 | Colliding: False | NearestObstacle: 111.7
Step 18 | Time: 0.300s | Pos: (623.8, 346.6) | Vel: (-160.9, 24.1) | Orient: 2.46 rad | AngVel: -0.57 | Speed: 162.7 | DistToTarget: 334.0 | Colliding: False | NearestObstacle: 110.7
Step 19 | Time: 0.317s | Pos: (620.9, 347.1) | Vel: (-169.9, 33.8) | Orient: 2.45 rad | AngVel: -0.56 | Speed: 173.3 | DistToTarget: 331.5 | Colliding: False | NearestObstacle: 109.5
Step 20 | Time: 0.333s | Pos: (618.0, 347.8) | Vel: (-177.5, 42.2) | Orient: 2.44 rad | AngVel: -0.46 | Speed: 182.5 | DistToTarget: 328.8 | Colliding: False | NearestObstacle: 108.2
Step 21 | Time: 0.350s | Pos: (614.9, 348.7) | Vel: (-183.8, 49.2) | Orient: 2.44 rad | AngVel: -0.35 | Speed: 190.3 | DistToTarget: 325.9 | Colliding: False | NearestObstacle: 106.9
Step 22 | Time: 0.367s | Pos: (611.8, 349.6) | Vel: (-189.1, 54.8) | Orient: 2.43 rad | AngVel: -0.26 | Speed: 196.9 | DistToTarget: 322.9 | Colliding: False | NearestObstacle: 105.5
Step 23 | Time: 0.383s | Pos: (608.5, 350.6) | Vel: (-193.6, 59.1) | Orient: 2.43 rad | AngVel: -0.20 | Speed: 202.4 | DistToTarget: 319.8 | Colliding: False | NearestObstacle: 104.1
Step 24 | Time: 0.400s | Pos: (605.2, 351.6) | Vel: (-197.6, 62.1) | Orient: 2.43 rad | AngVel: -0.19 | Speed: 207.1 | DistToTarget: 316.6 | Colliding: False | NearestObstacle: 102.7
Step 25 | Time: 0.417s | Pos: (601.9, 352.7) | Vel: (-201.2, 64.0) | Orient: 2.42 rad | AngVel: -0.20 | Speed: 211.1 | DistToTarget: 313.4 | Colliding: False | NearestObstacle: 101.3
