Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (-0.5, 0.3) | Orient: -2.76 rad | AngVel: -2.00 | Speed: 0.5 | DistToTarget: 144.7 | Colliding: False | NearestObstacle: 107.2
Step 1 | Time: 0.017s | Pos: (640.0, 360.0) | Vel: (-0.9, 0.6) | Orient: -2.79 rad | AngVel: -2.00 | Speed: 1.1 | DistToTarget: 144.7 | Colliding: False | NearestObstacle: 107.3
Step 2 | Time: 0.033s | Pos: (640.0, 360.0) | Vel: (-1.3, 1.1) | Orient: -2.83 rad | AngVel: -2.00 | Speed: 1.7 | DistToTarget: 144.7 | Colliding: False | NearestObstacle: 107.3
Step 3 | Time: 0.050s | Pos: (639.9, 360.1) | Vel: (-1.6, 1.6) | Orient: -2.86 rad | AngVel: -2.00 | Speed: 2.3 | DistToTarget: 144.7 | Colliding: False | NearestObstacle: 107.3
Step 4 | Time: 0.067s | Pos: (639.9, 360.1) | Vel: (-1.9, 2.3) | Orient: -2.89 rad | AngVel: -2.00 | Speed: 2.9 | DistToTarget: 144.6 | Colliding: False | NearestObstacle: 107.4
Step 5 | Time: 0.083s | Pos: (639.9, 360.1) | Vel: (-2.2, 3.0) | Orient: -2.93 rad | AngVel: -2.00 | Speed: 3.7 | DistToTarget: 144.6 | Colliding: False | NearestObstacle: 107.4
Step 6 | Time: 0.100s | Pos: (639.8, 360.2) | Vel: (-2.4, 3.8) | Orient: -2.96 rad | AngVel: -2.00 | Speed: 4.5 | DistToTarget: 144.6 | Colliding: False | NearestObstacle: 107.5
Step 7 | Time: 0.117s | Pos: (639.8, 360.3) | Vel: (-2.6, 4.7) | Orient: -2.99 rad | AngVel: -2.00 | Speed: 5.3 | DistToTarget: 144.5 | Colliding: False | NearestObstacle: 107.5
Step 8 | Time: 0.133s | Pos: (639.7, 360.4) | Vel: (-2.7, 5.7) | Orient: -3.03 rad | AngVel: -2.00 | Speed: 6.3 | DistToTarget: 144.4 | Colliding: False | NearestObstacle: 107.6
Step 9 | Time: 0.150s | Pos: (639.7, 360.5) | Vel: (-2.9, 6.7) | Orient: -3.06 rad | AngVel: -2.00 | Speed: 7.3 | DistToTarget: 144.4 | Colliding: False | NearestObstacle: 107.7
Step 10 | Time: 0.167s | Pos: (639.6, 360.6) | Vel: (-2.9, 7.9) | Orient: -3.09 rad | AngVel: -2.00 | Speed: 8.4 | DistToTarget: 144.3 | Colliding: False | NearestObstacle: 107.8
Step 11 | Time: 0.183s | Pos: (639.6, 360.8) | Vel: (-3.0, 9.1) | Orient: -3.13 rad | AngVel: -2.00 | Speed: 9.6 | DistToTarget: 144.1 | Colliding: False | NearestObstacle: 107.9
Step 12 | Time: 0.200s | Pos: (639.5, 361.0) | Vel: (-3.0, 10.5) | Orient: 3.12 rad | AngVel: -2.00 | Speed: 10.9 | DistToTarget: 144.0 | Colliding: False | NearestObstacle: 108.0
Step 13 | Time: 0.217s | Pos: (639.5, 361.1) | Vel: (-2.9, 11.9) | Orient: 3.09 rad | AngVel: -2.00 | Speed: 12.2 | DistToTarget: 143.8 | Colliding: False | NearestObstacle: 108.1
Step 14 | Time: 0.233s | Pos: (639.4, 361.4) | Vel: (-2.8, 13.4) | Orient: 3.06 rad | AngVel: -2.00 | Speed: 13.7 | DistToTarget: 143.6 | Colliding: False | NearestObstacle: 108.2
Step 15 | Time: 0.250s | Pos: (639.4, 361.6) | Vel: (-2.7, 15.0) | Orient: 3.02 rad | AngVel: -2.00 | Speed: 15.2 | DistToTarget: 143.4 | Colliding: False | NearestObstacle: 108.4
Step 16 | Time: 0.267s | Pos: (639.4, 361.9) | Vel: (-2.6, 16.6) | Orient: 2.99 rad | AngVel: -2.00 | Speed: 16.8 | DistToTarget: 143.2 | Colliding: False | NearestObstacle: 108.5
Step 17 | Time: 0.283s | Pos: (639.3, 362.2) | Vel: (-2.3, 18.4) | Orient: 2.96 rad | AngVel: -2.00 | Speed: 18.5 | DistToTarget: 142.9 | Colliding: False | NearestObstacle: 108.7
