Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (0.6, -0.1) | Orient: -1.86 rad | AngVel: -2.00 | Speed: 0.6 | DistToTarget: 470.7 | Colliding: False | NearestObstacle: 121.0
Step 1 | Time: 0.017s | Pos: (640.0, 360.0) | Vel: (1.0, -0.0) | Orient: -1.89 rad | AngVel: -2.00 | Speed: 1.0 | DistToTarget: 470.7 | Colliding: False | NearestObstacle: 121.0
Step 2 | Time: 0.033s | Pos: (640.0, 360.0) | Vel: (1.2, 0.3) | Orient: -1.93 rad | AngVel: -2.00 | Speed: 1.2 | DistToTarget: 470.7 | Colliding: False | NearestObstacle: 121.0
Step 3 | Time: 0.050s | Pos: (640.1, 360.0) | Vel: (1.1, 0.8) | Orient: -1.96 rad | AngVel: -2.00 | Speed: 1.3 | DistToTarget: 470.7 | Colliding: False | NearestObstacle: 121.0
Step 4 | Time: 0.067s | Pos: (640.1, 360.0) | Vel: (0.7, 1.5) | Orient: -1.99 rad | AngVel: -2.00 | Speed: 1.6 | DistToTarget: 470.7 | Colliding: False | NearestObstacle: 121.0
Step 5 | Time: 0.083s | Pos: (640.1, 360.1) | Vel: (0.1, 2.3) | Orient: -2.03 rad | AngVel: -2.00 | Speed: 2.3 | DistToTarget: 470.7 | Colliding: False | NearestObstacle: 121.0
Step 6 | Time: 0.100s | Pos: (640.1, 360.1) | Vel: (-0.7, 3.4) | Orient: -2.06 rad | AngVel: -2.00 | Speed: 3.5 | DistToTarget: 470.7 | Colliding: False | NearestObstacle: 121.0
Step 7 | Time: 0.117s | Pos: (640.0, 360.2) | Vel: (-1.8, 4.7) | Orient: -2.09 rad | AngVel: -2.00 | Speed: 5.0 | DistToTarget: 470.6 | Colliding: False | NearestObstacle: 121.0
Step 8 | Time: 0.133s | Pos: (640.0, 360.3) | Vel: (-3.1, 6.2) | Orient: -2.13 rad | AngVel: -2.00 | Speed: 6.9 | DistToTarget: 470.5 | Colliding: False | NearestObstacle: 120.9
Step 9 | Time: 0.150s | Pos: (639.9, 360.4) | Vel: (-4.7, 7.8) | Orient: -2.16 rad | AngVel: -2.00 | Speed: 9.1 | DistToTarget: 470.4 | Colliding: False | NearestObstacle: 120.8
Step 10 | Time: 0.167s | Pos: (639.8, 360.6) | Vel: (-6.5, 9.7) | Orient: -2.19 rad | AngVel: -2.00 | Speed: 11.7 | DistToTarget: 470.2 | Colliding: False | NearestObstacle: 120.6
Step 11 | Time: 0.183s | Pos: (639.7, 360.8) | Vel: (-8.6, 11.7) | Orient: -2.23 rad | AngVel: -2.00 | Speed: 14.5 | DistToTarget: 469.9 | Colliding: False | NearestObstacle: 120.4
Step 12 | Time: 0.200s | Pos: (639.5, 361.0) | Vel: (-10.9, 14.0) | Orient: -2.26 rad | AngVel: -2.00 | Speed: 17.7 | DistToTarget: 469.6 | Colliding: False | NearestObstacle: 120.2
Step 13 | Time: 0.217s | Pos: (639.3, 361.3) | Vel: (-13.4, 16.4) | Orient: -2.29 rad | AngVel: -2.00 | Speed: 21.1 | DistToTarget: 469.3 | Colliding: False | NearestObstacle: 119.9
Step 14 | Time: 0.233s | Pos: (639.0, 361.6) | Vel: (-16.1, 19.0) | Orient: -2.33 rad | AngVel: -2.00 | Speed: 24.9 | DistToTarget: 468.9 | Colliding: False | NearestObstacle: 119.5
Step 15 | Time: 0.250s | Pos: (638.7, 362.0) | Vel: (-19.1, 21.8) | Orient: -2.36 rad | AngVel: -2.00 | Speed: 29.0 | DistToTarget: 468.4 | Colliding: False | NearestObstacle: 119.1
Step 16 | Time: 0.267s | Pos: (638.3, 362.4) | Vel: (-22.3, 24.8) | Orient: -2.39 rad | AngVel: -2.00 | Speed: 33.3 | DistToTarget: 467.9 | Colliding: False | NearestObstacle: 118.6
Step 17 | Time: 0.283s | Pos: (637.9, 362.9) | Vel: (-25.7, 27.9) | Orient: -2.43 rad | AngVel: -2.00 | Speed: 38.0 | DistToTarget: 467.3 | Colliding: False | NearestObstacle: 118.1
Step 18 | Time: 0.300s | Pos: (637.4, 363.4) | Vel: (-29.4, 31.3) | Orient: -2.46 rad | AngVel: -2.00 | Speed: 42.9 | DistToTarget: 466.5 | Colliding: False | NearestObstacle: 117.5
Step 19 | Time: 0.317s | Pos: (636.8, 364.0) | Vel: (-33.2, 34.8) | Orient: -2.49 rad | AngVel: -2.00 | Speed: 48.1 | DistToTarget: 465.7 | Colliding: False | NearestObstacle: 116.8
Step 20 | Time: 0.333s | Pos: (636.2, 364.6) | Vel: (-37.2, 38.5) | Orient: -2.53 rad | AngVel: -2.00 | Speed: 53.6 | DistToTarget: 464.9 | Colliding: False | NearestObstacle: 116.0
Step 21 | Time: 0.350s | Pos: (635.5, 365.3) | Vel: (-41.4, 42.4) | Orient: -2.56 rad | AngVel: -2.00 | Speed: 59.3 | DistToTarget: 463.9 | Colliding: False | NearestObstacle: 115.1
