Step 0 | Time: 0.000s | Pos: (640.3, 359.9) | Vel: (19.8, -3.6) | Orient: 2.53 rad | AngVel: -2.00 | Speed: 20.1 | DistToTarget: 301.7 | Colliding: False | NearestObstacle: 159.0
Step 1 | Time: 0.017s | Pos: (641.3, 359.8) | Vel: (59.4, -10.8) | Orient: 2.49 rad | AngVel: -2.00 | Speed: 60.4 | DistToTarget: 300.7 | Colliding: False | NearestObstacle: 158.1
Step 2 | Time: 0.033s | Pos: (643.0, 359.5) | Vel: (98.4, -18.0) | Orient: 2.46 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 299.0 | Colliding: False | NearestObstacle: 156.5
Step 3 | Time: 0.050s | Pos: (644.6, 359.2) | Vel: (98.4, -18.0) | Orient: 2.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 297.3 | Colliding: False | NearestObstacle: 155.0
Step 4 | Time: 0.067s | Pos: (646.2, 358.9) | Vel: (98.4, -18.0) | Orient: 2.39 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 295.7 | Colliding: False | NearestObstacle: 153.4
Step 5 | Time: 0.083s | Pos: (647.9, 358.6) | Vel: (98.4, -18.0) | Orient: 2.36 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 294.0 | Colliding: False | NearestObstacle: 151.9
Step 6 | Time: 0.100s | Pos: (649.5, 358.3) | Vel: (98.4, -18.0) | Orient: 2.33 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 292.3 | Colliding: False | NearestObstacle: 150.4
Step 7 | Time: 0.117s | Pos: (651.2, 358.0) | Vel: (98.4, -18.0) | Orient: 2.29 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 290.7 | Colliding: False | NearestObstacle: 148.8
Step 8 | Time: 0.133s | Pos: (652.8, 357.7) | Vel: (98.4, -18.0) | Orient: 2.26 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 289.0 | Colliding: False | NearestObstacle: 147.3
Step 9 | Time: 0.150s | Pos: (654.4, 357.4) | Vel: (98.4, -18.0) | Orient: 2.23 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 287.3 | Colliding: False | NearestObstacle: 145.8
Step 10 | Time: 0.167s | Pos: (656.1, 357.1) | Vel: (98.4, -18.0) | Orient: 2.19 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 285.7 | Colliding: False | NearestObstacle: 144.3
Step 11 | Time: 0.183s | Pos: (657.7, 356.8) | Vel: (98.4, -18.0) | Orient: 2.16 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 284.0 | Colliding: False | NearestObstacle: 142.7
Step 12 | Time: 0.200s | Pos: (659.4, 356.5) | Vel: (98.4, -18.0) | Orient: 2.13 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 282.3 | Colliding: False | NearestObstacle: 141.2
Step 13 | Time: 0.217s | Pos: (661.0, 356.2) | Vel: (98.4, -18.0) | Orient: 2.09 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 280.7 | Colliding: False | NearestObstacle: 139.7
Step 14 | Time: 0.233s | Pos: (662.6, 355.9) | Vel: (98.4, -18.0) | Orient: 2.06 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 279.0 | Colliding: False | NearestObstacle: 138.2
Step 15 | Time: 0.250s | Pos: (664.3, 355.6) | Vel: (98.4, -18.0) | Orient: 2.03 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 277.3 | Colliding: False | NearestObstacle: 136.7
Step 16 | Time: 0.267s | Pos: (665.9, 355.3) | Vel: (98.4, -18.0) | Orient: 1.99 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 275.7 | Colliding: False | NearestObstacle: 135.2
Step 17 | Time: 0.283s | Pos: (667.6, 355.0) | Vel: (98.4, -18.0) | Orient: 1.96 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 274.0 | Colliding: False | NearestObstacle: 133.7
Step 18 | Time: 0.300s | Pos: (669.2, 354.7) | Vel: (98.4, -18.0) | Orient: 1.93 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 272.3 | Colliding: False | NearestObstacle: 132.2
Step 19 | Time: 0.317s | Pos: (670.8, 354.4) | Vel: (98.4, -18.0) | Orient: 1.89 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 270.7 | Colliding: False | NearestObstacle: 130.7
Step 20 | Time: 0.333s | Pos: (672.5, 354.1) | Vel: (98.4, -18.0) | Orient: 1.86 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 269.0 | Colliding: False | NearestObstacle: 129.2
Step 21 | Time: 0.350s | Pos: (674.1, 353.8) | Vel: (98.4, -18.0) | Orient: 1.83 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 267.3 | Colliding: False | NearestObstacle: 127.7
Step 22 | Time: 0.367s | Pos: (675.8, 353.5) | Vel: (98.4, -18.0) | Orient: 1.79 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 265.7 | Colliding: False | NearestObstacle: 126.2
Step 23 | Time: 0.383s | Pos: (677.4, 353.2) | Vel: (98.4, -17.9) | Orient: 1.76 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 264.0 | Colliding: False | NearestObstacle: 124.7
Step 24 | Time: 0.400s | Pos: (679.0, 352.9) | Vel: (98.4, -17.9) | Orient: 1.73 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 262.3 | Colliding: False | NearestObstacle: 123.2
Step 25 | Time: 0.417s | Pos: (680.7, 352.6) | Vel: (98.4, -17.9) | Orient: 1.69 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 260.7 | Colliding: False | NearestObstacle: 121.8
Step 26 | Time: 0.433s | Pos: (682.3, 352.3) | Vel: (98.4, -17.9) | Orient: 1.66 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 259.0 | Colliding: False | NearestObstacle: 120.3
Step 27 | Time: 0.450s | Pos: (683.9, 352.0) | Vel: (98.4, -17.9) | Orient: 1.63 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 257.3 | Colliding: False | NearestObstacle: 118.8
Step 28 | Time: 0.467s | Pos: (685.6, 351.7) | Vel: (98.4, -17.9) | Orient: 1.59 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 255.7 | Colliding: False | NearestObstacle: 117.4
Step 29 | Time: 0.483s | Pos: (687.2, 351.4) | Vel: (98.4, -17.9) | Orient: 1.56 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 254.0 | Colliding: False | NearestObstacle: 115.9
Step 30 | Time: 0.500s | Pos: (688.9, 351.1) | Vel: (98.4, -17.9) | Orient: 1.53 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 252.3 | Colliding: False | NearestObstacle: 114.4
Step 31 | Time: 0.517s | Pos: (690.5, 350.8) | Vel: (98.4, -17.9) | Orient: 1.49 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 250.7 | Colliding: False | NearestObstacle: 113.0
Step 32 | Time: 0.533s | Pos: (692.1, 350.5) | Vel: (98.4, -17.9) | Orient: 1.46 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 249.0 | Colliding: False | NearestObstacle: 111.5
Step 33 | Time: 0.550s | Pos: (693.8, 350.2) | Vel: (98.4, -17.9) | Orient: 1.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 247.3 | Colliding: False | NearestObstacle: 110.1
Step 34 | Time: 0.567s | Pos: (695.4, 349.9) | Vel: (98.4, -17.9) | Orient: 1.39 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 245.7 | Colliding: False | NearestObstacle: 108.7
Step 35 | Time: 0.583s | Pos: (697.1, 349.6) | Vel: (98.4, -17.9) | Orient: 1.36 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 244.0 | Colliding: False | NearestObstacle: 107.2
Step 36 | Time: 0.600s | Pos: (698.7, 349.3) | Vel: (98.4, -17.9) | Orient: 1.33 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 242.3 | Colliding: False | NearestObstacle: 105.8
Step 37 | Time: 0.617s | Pos: (700.3, 349.0) | Vel: (98.4, -17.9) | Orient: 1.29 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 240.7 | Colliding: False | NearestObstacle: 104.4
Step 38 | Time: 0.633s | Pos: (702.0, 348.7) | Vel: (98.4, -17.9) | Orient: 1.26 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 239.0 | Colliding: False | NearestObstacle: 103.0
