Step 0 | Time: 0.000s | Pos: (641.3, 361.0) | Vel: (79.8, 60.2) | Orient: -2.79 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 102.2 | Colliding: False | NearestObstacle: 226.0
Step 1 | Time: 0.017s | Pos: (642.7, 362.0) | Vel: (79.8, 60.2) | Orient: -2.82 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 100.6 | Colliding: False | NearestObstacle: 227.7
Step 2 | Time: 0.033s | Pos: (644.0, 363.0) | Vel: (79.8, 60.2) | Orient: -2.85 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 98.9 | Colliding: False | NearestObstacle: 229.4
Step 3 | Time: 0.050s | Pos: (645.3, 364.0) | Vel: (79.8, 60.2) | Orient: -2.89 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 97.2 | Colliding: False | NearestObstacle: 231.0
Step 4 | Time: 0.067s | Pos: (646.7, 365.0) | Vel: (79.8, 60.2) | Orient: -2.92 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 95.6 | Colliding: False | NearestObstacle: 232.7
Step 5 | Time: 0.083s | Pos: (648.0, 366.0) | Vel: (79.8, 60.2) | Orient: -2.95 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 93.9 | Colliding: False | NearestObstacle: 234.4
Step 6 | Time: 0.100s | Pos: (649.3, 367.0) | Vel: (79.8, 60.2) | Orient: -2.99 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 92.2 | Colliding: False | NearestObstacle: 236.0
Step 7 | Time: 0.117s | Pos: (650.6, 368.0) | Vel: (79.8, 60.2) | Orient: -3.02 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 90.6 | Colliding: False | NearestObstacle: 237.7
Step 8 | Time: 0.133s | Pos: (652.0, 369.0) | Vel: (79.8, 60.2) | Orient: -3.05 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 88.9 | Colliding: False | NearestObstacle: 239.4
Step 9 | Time: 0.150s | Pos: (653.3, 370.0) | Vel: (79.8, 60.2) | Orient: -3.09 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 87.2 | Colliding: False | NearestObstacle: 241.0
Step 10 | Time: 0.167s | Pos: (654.6, 371.0) | Vel: (79.8, 60.2) | Orient: -3.12 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 85.6 | Colliding: False | NearestObstacle: 242.7
Step 11 | Time: 0.183s | Pos: (656.0, 372.0) | Vel: (79.8, 60.2) | Orient: 3.13 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 83.9 | Colliding: False | NearestObstacle: 244.4
Step 12 | Time: 0.200s | Pos: (657.3, 373.0) | Vel: (79.8, 60.2) | Orient: 3.10 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 82.2 | Colliding: False | NearestObstacle: 246.0
Step 13 | Time: 0.217s | Pos: (658.6, 374.0) | Vel: (79.8, 60.2) | Orient: 3.06 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 80.6 | Colliding: False | NearestObstacle: 247.7
Step 14 | Time: 0.233s | Pos: (660.0, 375.1) | Vel: (79.8, 60.2) | Orient: 3.03 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 78.9 | Colliding: False | NearestObstacle: 249.4
Step 15 | Time: 0.250s | Pos: (661.3, 376.1) | Vel: (79.8, 60.2) | Orient: 3.00 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 77.2 | Colliding: False | NearestObstacle: 251.0
Step 16 | Time: 0.267s | Pos: (662.6, 377.1) | Vel: (79.8, 60.2) | Orient: 2.96 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 75.6 | Colliding: False | NearestObstacle: 252.7
Step 17 | Time: 0.283s | Pos: (664.0, 378.1) | Vel: (79.8, 60.2) | Orient: 2.93 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 73.9 | Colliding: False | NearestObstacle: 254.4
Step 18 | Time: 0.300s | Pos: (665.3, 379.1) | Vel: (79.8, 60.2) | Orient: 2.90 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 72.2 | Colliding: False | NearestObstacle: 256.0
Step 19 | Time: 0.317s | Pos: (666.6, 380.1) | Vel: (79.8, 60.2) | Orient: 2.86 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 70.6 | Colliding: False | NearestObstacle: 257.7
Step 20 | Time: 0.333s | Pos: (667.9, 381.1) | Vel: (79.8, 60.2) | Orient: 2.83 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 68.9 | Colliding: False | NearestObstacle: 259.4
Step 21 | Time: 0.350s | Pos: (669.3, 382.1) | Vel: (79.8, 60.2) | Orient: 2.80 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 67.2 | Colliding: False | NearestObstacle: 261.0
Step 22 | Time: 0.367s | Pos: (670.6, 383.1) | Vel: (79.8, 60.2) | Orient: 2.76 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 65.6 | Colliding: False | NearestObstacle: 262.7
Step 23 | Time: 0.383s | Pos: (671.9, 384.1) | Vel: (79.8, 60.2) | Orient: 2.73 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 63.9 | Colliding: False | NearestObstacle: 264.4
