Step 0 | Time: 0.000s | Pos: (638.5, 359.2) | Vel: (-88.9, -45.9) | Orient: -1.82 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 620.9 | Colliding: False | NearestObstacle: 138.7
Step 1 | Time: 0.017s | Pos: (637.0, 358.5) | Vel: (-88.9, -45.9) | Orient: -1.85 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 619.3 | Colliding: False | NearestObstacle: 137.2
Step 2 | Time: 0.033s | Pos: (635.6, 357.7) | Vel: (-88.9, -45.9) | Orient: -1.89 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 617.6 | Colliding: False | NearestObstacle: 135.7
Step 3 | Time: 0.050s | Pos: (634.1, 356.9) | Vel: (-88.9, -45.9) | Orient: -1.92 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 615.9 | Colliding: False | NearestObstacle: 134.3
Step 4 | Time: 0.067s | Pos: (632.6, 356.2) | Vel: (-88.9, -45.9) | Orient: -1.95 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 614.3 | Colliding: False | NearestObstacle: 132.8
Step 5 | Time: 0.083s | Pos: (631.1, 355.4) | Vel: (-88.9, -45.9) | Orient: -1.99 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 612.6 | Colliding: False | NearestObstacle: 131.3
Step 6 | Time: 0.100s | Pos: (629.6, 354.6) | Vel: (-88.9, -45.9) | Orient: -2.02 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 610.9 | Colliding: False | NearestObstacle: 129.8
Step 7 | Time: 0.117s | Pos: (628.2, 353.9) | Vel: (-88.9, -45.9) | Orient: -2.05 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 609.3 | Colliding: False | NearestObstacle: 128.4
Step 8 | Time: 0.133s | Pos: (626.7, 353.1) | Vel: (-88.9, -45.9) | Orient: -2.09 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 607.6 | Colliding: False | NearestObstacle: 126.9
Step 9 | Time: 0.150s | Pos: (625.2, 352.4) | Vel: (-88.9, -45.9) | Orient: -2.12 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 605.9 | Colliding: False | NearestObstacle: 125.4
Step 10 | Time: 0.167s | Pos: (623.7, 351.6) | Vel: (-88.9, -45.9) | Orient: -2.15 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 604.3 | Colliding: False | NearestObstacle: 124.0
Step 11 | Time: 0.183s | Pos: (622.2, 350.8) | Vel: (-88.9, -45.9) | Orient: -2.19 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 602.6 | Colliding: False | NearestObstacle: 122.5
Step 12 | Time: 0.200s | Pos: (620.7, 350.1) | Vel: (-88.9, -45.9) | Orient: -2.22 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 600.9 | Colliding: False | NearestObstacle: 121.1
