Step 0 | Time: 0.000s | Pos: (638.5, 360.7) | Vel: (-89.5, 44.7) | Orient: 2.26 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 383.1 | Colliding: False | NearestObstacle: 107.5
Step 1 | Time: 0.017s | Pos: (637.0, 361.5) | Vel: (-89.5, 44.7) | Orient: 2.29 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 381.4 | Colliding: False | NearestObstacle: 106.1
Step 2 | Time: 0.033s | Pos: (635.5, 362.2) | Vel: (-89.5, 44.7) | Orient: 2.32 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 379.7 | Colliding: False | NearestObstacle: 104.8
Step 3 | Time: 0.050s | Pos: (634.0, 363.0) | Vel: (-89.5, 44.7) | Orient: 2.36 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 378.1 | Colliding: False | NearestObstacle: 103.5
Step 4 | Time: 0.067s | Pos: (632.5, 363.7) | Vel: (-89.5, 44.7) | Orient: 2.39 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 376.4 | Colliding: False | NearestObstacle: 102.2
Step 5 | Time: 0.083s | Pos: (631.1, 364.5) | Vel: (-89.5, 44.7) | Orient: 2.42 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 374.7 | Colliding: False | NearestObstacle: 100.9
Step 6 | Time: 0.100s | Pos: (629.6, 365.2) | Vel: (-89.5, 44.7) | Orient: 2.46 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 373.1 | Colliding: False | NearestObstacle: 99.6
Step 7 | Time: 0.117s | Pos: (628.1, 366.0) | Vel: (-89.5, 44.7) | Orient: 2.49 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 371.4 | Colliding: False | NearestObstacle: 98.3
Step 8 | Time: 0.133s | Pos: (626.6, 366.7) | Vel: (-89.5, 44.7) | Orient: 2.52 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 369.7 | Colliding: False | NearestObstacle: 97.0
Step 9 | Time: 0.150s | Pos: (625.1, 367.5) | Vel: (-89.5, 44.7) | Orient: 2.56 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 368.1 | Colliding: False | NearestObstacle: 95.8
Step 10 | Time: 0.167s | Pos: (623.6, 368.2) | Vel: (-89.5, 44.7) | Orient: 2.59 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 366.4 | Colliding: False | NearestObstacle: 94.5
