Step 0 | Time: 0.000s | Pos: (641.7, 360.1) | Vel: (99.9, 5.4) | Orient: -0.79 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 143.2 | Colliding: False | NearestObstacle: 207.8
Step 1 | Time: 0.017s | Pos: (643.3, 360.2) | Vel: (99.9, 5.4) | Orient: -0.75 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 141.5 | Colliding: False | NearestObstacle: 206.6
Step 2 | Time: 0.033s | Pos: (645.0, 360.3) | Vel: (99.9, 5.4) | Orient: -0.72 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 139.9 | Colliding: False | NearestObstacle: 205.5
Step 3 | Time: 0.050s | Pos: (646.7, 360.4) | Vel: (99.9, 5.4) | Orient: -0.69 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 138.2 | Colliding: False | NearestObstacle: 204.3
Step 4 | Time: 0.067s | Pos: (648.3, 360.4) | Vel: (99.9, 5.4) | Orient: -0.65 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 136.5 | Colliding: False | NearestObstacle: 203.2
Step 5 | Time: 0.083s | Pos: (650.0, 360.5) | Vel: (99.9, 5.4) | Orient: -0.62 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 134.9 | Colliding: False | NearestObstacle: 202.1
Step 6 | Time: 0.100s | Pos: (651.6, 360.6) | Vel: (99.9, 5.4) | Orient: -0.59 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 133.2 | Colliding: False | NearestObstacle: 200.9
Step 7 | Time: 0.117s | Pos: (653.3, 360.7) | Vel: (99.9, 5.4) | Orient: -0.55 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 131.5 | Colliding: False | NearestObstacle: 199.8
Step 8 | Time: 0.133s | Pos: (655.0, 360.8) | Vel: (99.9, 5.4) | Orient: -0.52 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 129.9 | Colliding: False | NearestObstacle: 198.7
Step 9 | Time: 0.150s | Pos: (656.6, 360.9) | Vel: (99.9, 5.4) | Orient: -0.49 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 128.2 | Colliding: False | NearestObstacle: 197.6
Step 10 | Time: 0.167s | Pos: (658.3, 361.0) | Vel: (99.9, 5.4) | Orient: -0.45 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 126.5 | Colliding: False | NearestObstacle: 196.5
Step 11 | Time: 0.183s | Pos: (660.0, 361.1) | Vel: (99.9, 5.4) | Orient: -0.42 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 124.9 | Colliding: False | NearestObstacle: 195.4
Step 12 | Time: 0.200s | Pos: (661.6, 361.2) | Vel: (99.9, 5.4) | Orient: -0.39 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 123.2 | Colliding: False | NearestObstacle: 194.3
Step 13 | Time: 0.217s | Pos: (663.3, 361.3) | Vel: (99.9, 5.4) | Orient: -0.35 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 121.5 | Colliding: False | NearestObstacle: 193.3
Step 14 | Time: 0.233s | Pos: (665.0, 361.3) | Vel: (99.9, 5.4) | Orient: -0.32 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 119.9 | Colliding: False | NearestObstacle: 192.2
Step 15 | Time: 0.250s | Pos: (666.6, 361.4) | Vel: (99.9, 5.4) | Orient: -0.29 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 118.2 | Colliding: False | NearestObstacle: 191.1
Step 16 | Time: 0.267s | Pos: (668.3, 361.5) | Vel: (99.9, 5.4) | Orient: -0.25 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 116.5 | Colliding: False | NearestObstacle: 190.1
Step 17 | Time: 0.283s | Pos: (670.0, 361.6) | Vel: (99.9, 5.4) | Orient: -0.22 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 114.9 | Colliding: False | NearestObstacle: 189.0
Step 18 | Time: 0.300s | Pos: (671.6, 361.7) | Vel: (99.9, 5.4) | Orient: -0.19 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 113.2 | Colliding: False | NearestObstacle: 188.0
Step 19 | Time: 0.317s | Pos: (673.3, 361.8) | Vel: (99.9, 5.4) | Orient: -0.15 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 111.5 | Colliding: False | NearestObstacle: 187.0
Step 20 | Time: 0.333s | Pos: (674.9, 361.9) | Vel: (99.9, 5.4) | Orient: -0.12 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 109.9 | Colliding: False | NearestObstacle: 185.9
Step 21 | Time: 0.350s | Pos: (676.6, 362.0) | Vel: (99.9, 5.4) | Orient: -0.09 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 108.2 | Colliding: False | NearestObstacle: 184.9
Step 22 | Time: 0.367s | Pos: (678.3, 362.1) | Vel: (99.9, 5.4) | Orient: -0.05 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 106.5 | Colliding: False | NearestObstacle: 183.9
