Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (2.9, 0.9) | Orient: 1.03 rad | AngVel: -2.00 | Speed: 3.0 | DistToTarget: 502.3 | Colliding: False | NearestObstacle: 116.8
Step 1 | Time: 0.017s | Pos: (640.2, 360.1) | Vel: (8.9, 2.8) | Orient: 1.00 rad | AngVel: -2.00 | Speed: 9.3 | DistToTarget: 502.1 | Colliding: False | NearestObstacle: 116.6
Step 2 | Time: 0.033s | Pos: (640.5, 360.2) | Vel: (18.0, 5.9) | Orient: 0.97 rad | AngVel: -2.00 | Speed: 19.0 | DistToTarget: 501.8 | Colliding: False | NearestObstacle: 116.3
Step 3 | Time: 0.050s | Pos: (641.0, 360.3) | Vel: (30.4, 10.0) | Orient: 0.93 rad | AngVel: -2.00 | Speed: 32.0 | DistToTarget: 501.3 | Colliding: False | NearestObstacle: 115.8
Step 4 | Time: 0.067s | Pos: (641.8, 360.6) | Vel: (45.9, 15.2) | Orient: 0.90 rad | AngVel: -2.00 | Speed: 48.3 | DistToTarget: 500.5 | Colliding: False | NearestObstacle: 115.0
Step 5 | Time: 0.083s | Pos: (642.8, 360.9) | Vel: (64.5, 21.5) | Orient: 0.87 rad | AngVel: -2.00 | Speed: 68.0 | DistToTarget: 499.3 | Colliding: False | NearestObstacle: 114.0
Step 6 | Time: 0.100s | Pos: (644.3, 361.4) | Vel: (86.3, 28.8) | Orient: 0.83 rad | AngVel: -2.00 | Speed: 91.0 | DistToTarget: 497.8 | Colliding: False | NearestObstacle: 112.5
Step 7 | Time: 0.117s | Pos: (645.9, 361.9) | Vel: (94.8, 31.8) | Orient: 0.80 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 496.2 | Colliding: False | NearestObstacle: 110.9
Step 8 | Time: 0.133s | Pos: (647.4, 362.5) | Vel: (94.8, 31.8) | Orient: 0.77 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 494.5 | Colliding: False | NearestObstacle: 109.3
Step 9 | Time: 0.150s | Pos: (649.0, 363.0) | Vel: (94.8, 31.9) | Orient: 0.73 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 492.8 | Colliding: False | NearestObstacle: 107.7
Step 10 | Time: 0.167s | Pos: (650.6, 363.5) | Vel: (94.8, 31.9) | Orient: 0.70 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 491.2 | Colliding: False | NearestObstacle: 106.1
