Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (-0.8, 1.4) | Orient: -3.00 rad | AngVel: 2.00 | Speed: 1.6 | DistToTarget: 325.0 | Colliding: False | NearestObstacle: 103.1
Step 1 | Time: 0.017s | Pos: (640.0, 360.1) | Vel: (-1.4, 2.7) | Orient: -2.97 rad | AngVel: 2.00 | Speed: 3.0 | DistToTarget: 325.0 | Colliding: False | NearestObstacle: 103.2
Step 2 | Time: 0.033s | Pos: (639.9, 360.1) | Vel: (-1.7, 3.9) | Orient: -2.94 rad | AngVel: 2.00 | Speed: 4.3 | DistToTarget: 325.0 | Colliding: False | NearestObstacle: 103.2
Step 3 | Time: 0.050s | Pos: (639.9, 360.2) | Vel: (-1.9, 5.1) | Orient: -2.90 rad | AngVel: 2.00 | Speed: 5.4 | DistToTarget: 325.1 | Colliding: False | NearestObstacle: 103.3
Step 4 | Time: 0.067s | Pos: (639.9, 360.3) | Vel: (-1.8, 6.2) | Orient: -2.87 rad | AngVel: 2.00 | Speed: 6.4 | DistToTarget: 325.2 | Colliding: False | NearestObstacle: 103.4
Step 5 | Time: 0.083s | Pos: (639.8, 360.4) | Vel: (-1.6, 7.2) | Orient: -2.84 rad | AngVel: 2.00 | Speed: 7.4 | DistToTarget: 325.2 | Colliding: False | NearestObstacle: 103.5
Step 6 | Time: 0.100s | Pos: (639.8, 360.6) | Vel: (-1.1, 8.2) | Orient: -2.80 rad | AngVel: 2.00 | Speed: 8.3 | DistToTarget: 325.3 | Colliding: False | NearestObstacle: 103.6
Step 7 | Time: 0.117s | Pos: (639.8, 360.7) | Vel: (-0.4, 9.1) | Orient: -2.77 rad | AngVel: 2.00 | Speed: 9.1 | DistToTarget: 325.3 | Colliding: False | NearestObstacle: 103.8
Step 8 | Time: 0.133s | Pos: (639.8, 360.9) | Vel: (0.6, 9.9) | Orient: -2.74 rad | AngVel: 2.00 | Speed: 9.9 | DistToTarget: 325.4 | Colliding: False | NearestObstacle: 103.9
Step 9 | Time: 0.150s | Pos: (639.9, 361.1) | Vel: (1.7, 10.7) | Orient: -2.70 rad | AngVel: 2.00 | Speed: 10.8 | DistToTarget: 325.4 | Colliding: False | NearestObstacle: 104.0
Step 10 | Time: 0.167s | Pos: (639.9, 361.3) | Vel: (3.1, 11.4) | Orient: -2.67 rad | AngVel: 2.00 | Speed: 11.8 | DistToTarget: 325.4 | Colliding: False | NearestObstacle: 104.1
