Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (1.2, 0.6) | Orient: 1.86 rad | AngVel: 2.00 | Speed: 1.4 | DistToTarget: 464.8 | Colliding: False | NearestObstacle: 101.2
Step 1 | Time: 0.017s | Pos: (640.1, 360.0) | Vel: (2.1, 1.1) | Orient: 1.89 rad | AngVel: 2.00 | Speed: 2.4 | DistToTarget: 464.9 | Colliding: False | NearestObstacle: 101.3
Step 2 | Time: 0.033s | Pos: (640.1, 360.1) | Vel: (2.7, 1.6) | Orient: 1.93 rad | AngVel: 2.00 | Speed: 3.2 | DistToTarget: 464.9 | Colliding: False | NearestObstacle: 101.3
Step 3 | Time: 0.050s | Pos: (640.2, 360.1) | Vel: (3.0, 2.1) | Orient: 1.96 rad | AngVel: 2.00 | Speed: 3.6 | DistToTarget: 465.0 | Colliding: False | NearestObstacle: 101.4
Step 4 | Time: 0.067s | Pos: (640.2, 360.1) | Vel: (3.0, 2.5) | Orient: 1.99 rad | AngVel: 2.00 | Speed: 3.9 | DistToTarget: 465.0 | Colliding: False | NearestObstacle: 101.4
Step 5 | Time: 0.083s | Pos: (640.2, 360.2) | Vel: (2.6, 2.8) | Orient: 2.03 rad | AngVel: 2.00 | Speed: 3.9 | DistToTarget: 465.1 | Colliding: False | NearestObstacle: 101.5
Step 6 | Time: 0.100s | Pos: (640.3, 360.2) | Vel: (2.0, 3.1) | Orient: 2.06 rad | AngVel: 2.00 | Speed: 3.7 | DistToTarget: 465.1 | Colliding: False | NearestObstacle: 101.5
Step 7 | Time: 0.117s | Pos: (640.3, 360.3) | Vel: (1.0, 3.4) | Orient: 2.09 rad | AngVel: 2.00 | Speed: 3.5 | DistToTarget: 465.2 | Colliding: False | NearestObstacle: 101.6
Step 8 | Time: 0.133s | Pos: (640.3, 360.3) | Vel: (-0.3, 3.6) | Orient: 2.13 rad | AngVel: 2.00 | Speed: 3.6 | DistToTarget: 465.2 | Colliding: False | NearestObstacle: 101.6
Step 9 | Time: 0.150s | Pos: (640.3, 360.4) | Vel: (-1.9, 3.8) | Orient: 2.16 rad | AngVel: 2.00 | Speed: 4.2 | DistToTarget: 465.1 | Colliding: False | NearestObstacle: 101.6
Step 10 | Time: 0.167s | Pos: (640.2, 360.5) | Vel: (-3.8, 3.9) | Orient: 2.19 rad | AngVel: 2.00 | Speed: 5.5 | DistToTarget: 465.1 | Colliding: False | NearestObstacle: 101.6
Step 11 | Time: 0.183s | Pos: (640.1, 360.5) | Vel: (-6.0, 4.0) | Orient: 2.23 rad | AngVel: 2.00 | Speed: 7.3 | DistToTarget: 465.0 | Colliding: False | NearestObstacle: 101.5
Step 12 | Time: 0.200s | Pos: (640.0, 360.6) | Vel: (-8.6, 4.1) | Orient: 2.26 rad | AngVel: 2.00 | Speed: 9.5 | DistToTarget: 464.9 | Colliding: False | NearestObstacle: 101.4
Step 13 | Time: 0.217s | Pos: (639.8, 360.7) | Vel: (-11.4, 4.1) | Orient: 2.29 rad | AngVel: 2.00 | Speed: 12.1 | DistToTarget: 464.7 | Colliding: False | NearestObstacle: 101.2
Step 14 | Time: 0.233s | Pos: (639.5, 360.7) | Vel: (-14.6, 4.0) | Orient: 2.33 rad | AngVel: 2.00 | Speed: 15.1 | DistToTarget: 464.5 | Colliding: False | NearestObstacle: 101.0
Step 15 | Time: 0.250s | Pos: (639.2, 360.8) | Vel: (-18.0, 4.0) | Orient: 2.36 rad | AngVel: 2.00 | Speed: 18.4 | DistToTarget: 464.2 | Colliding: False | NearestObstacle: 100.8
Step 16 | Time: 0.267s | Pos: (638.9, 360.9) | Vel: (-21.7, 3.8) | Orient: 2.39 rad | AngVel: 2.00 | Speed: 22.1 | DistToTarget: 463.8 | Colliding: False | NearestObstacle: 100.5
Step 17 | Time: 0.283s | Pos: (638.4, 360.9) | Vel: (-25.7, 3.7) | Orient: 2.43 rad | AngVel: 2.00 | Speed: 26.0 | DistToTarget: 463.4 | Colliding: False | NearestObstacle: 100.1
Step 18 | Time: 0.300s | Pos: (637.9, 361.0) | Vel: (-30.0, 3.5) | Orient: 2.46 rad | AngVel: 2.00 | Speed: 30.2 | DistToTarget: 462.9 | Colliding: False | NearestObstacle: 99.7
Step 19 | Time: 0.317s | Pos: (637.3, 361.1) | Vel: (-34.6, 3.3) | Orient: 2.49 rad | AngVel: 2.00 | Speed: 34.8 | DistToTarget: 462.4 | Colliding: False | NearestObstacle: 99.2
Step 20 | Time: 0.333s | Pos: (636.7, 361.1) | Vel: (-39.4, 3.1) | Orient: 2.53 rad | AngVel: 2.00 | Speed: 39.6 | DistToTarget: 461.7 | Colliding: False | NearestObstacle: 98.6
Step 21 | Time: 0.350s | Pos: (635.9, 361.2) | Vel: (-44.5, 2.8) | Orient: 2.56 rad | AngVel: 2.00 | Speed: 44.6 | DistToTarget: 461.0 | Colliding: False | NearestObstacle: 97.9
Step 22 | Time: 0.367s | Pos: (635.1, 361.2) | Vel: (-49.9, 2.6) | Orient: 2.59 rad | AngVel: 2.00 | Speed: 50.0 | DistToTarget: 460.2 | Colliding: False | NearestObstacle: 97.2
Step 23 | Time: 0.383s | Pos: (634.2, 361.2) | Vel: (-55.5, 2.3) | Orient: 2.63 rad | AngVel: 2.00 | Speed: 55.5 | DistToTarget: 459.3 | Colliding: False | NearestObstacle: 96.3
Step 24 | Time: 0.400s | Pos: (633.2, 361.3) | Vel: (-61.3, 2.0) | Orient: 2.66 rad | AngVel: 2.00 | Speed: 61.4 | DistToTarget: 458.2 | Colliding: False | NearestObstacle: 95.4
