Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (-0.2, 0.5) | Orient: 2.00 rad | AngVel: -2.00 | Speed: 0.5 | DistToTarget: 488.2 | Colliding: False | NearestObstacle: 107.7
Step 1 | Time: 0.017s | Pos: (640.0, 360.0) | Vel: (-0.1, 0.9) | Orient: 1.97 rad | AngVel: -2.00 | Speed: 0.9 | DistToTarget: 488.2 | Colliding: False | NearestObstacle: 107.7
Step 2 | Time: 0.033s | Pos: (640.0, 360.0) | Vel: (0.3, 1.3) | Orient: 1.94 rad | AngVel: -2.00 | Speed: 1.3 | DistToTarget: 488.2 | Colliding: False | NearestObstacle: 107.7
Step 3 | Time: 0.050s | Pos: (640.0, 360.1) | Vel: (1.0, 1.7) | Orient: 1.90 rad | AngVel: -2.00 | Speed: 2.0 | DistToTarget: 488.1 | Colliding: False | NearestObstacle: 107.7
Step 4 | Time: 0.067s | Pos: (640.1, 360.1) | Vel: (2.1, 2.1) | Orient: 1.87 rad | AngVel: -2.00 | Speed: 2.9 | DistToTarget: 488.1 | Colliding: False | NearestObstacle: 107.8
Step 5 | Time: 0.083s | Pos: (640.1, 360.1) | Vel: (3.5, 2.4) | Orient: 1.84 rad | AngVel: -2.00 | Speed: 4.2 | DistToTarget: 488.1 | Colliding: False | NearestObstacle: 107.8
Step 6 | Time: 0.100s | Pos: (640.2, 360.2) | Vel: (5.2, 2.7) | Orient: 1.80 rad | AngVel: -2.00 | Speed: 5.9 | DistToTarget: 488.0 | Colliding: False | NearestObstacle: 107.8
Step 7 | Time: 0.117s | Pos: (640.3, 360.2) | Vel: (7.3, 3.0) | Orient: 1.77 rad | AngVel: -2.00 | Speed: 7.8 | DistToTarget: 487.9 | Colliding: False | NearestObstacle: 107.9
Step 8 | Time: 0.133s | Pos: (640.5, 360.3) | Vel: (9.6, 3.2) | Orient: 1.74 rad | AngVel: -2.00 | Speed: 10.2 | DistToTarget: 487.7 | Colliding: False | NearestObstacle: 107.9
Step 9 | Time: 0.150s | Pos: (640.7, 360.4) | Vel: (12.3, 3.4) | Orient: 1.70 rad | AngVel: -2.00 | Speed: 12.8 | DistToTarget: 487.5 | Colliding: False | NearestObstacle: 108.0
Step 10 | Time: 0.167s | Pos: (640.9, 360.4) | Vel: (15.3, 3.6) | Orient: 1.67 rad | AngVel: -2.00 | Speed: 15.8 | DistToTarget: 487.2 | Colliding: False | NearestObstacle: 108.1
Step 11 | Time: 0.183s | Pos: (641.2, 360.5) | Vel: (18.7, 3.8) | Orient: 1.64 rad | AngVel: -2.00 | Speed: 19.0 | DistToTarget: 486.9 | Colliding: False | NearestObstacle: 108.1
Step 12 | Time: 0.200s | Pos: (641.6, 360.5) | Vel: (22.3, 3.9) | Orient: 1.60 rad | AngVel: -2.00 | Speed: 22.6 | DistToTarget: 486.6 | Colliding: False | NearestObstacle: 108.2
Step 13 | Time: 0.217s | Pos: (642.1, 360.6) | Vel: (26.3, 4.0) | Orient: 1.57 rad | AngVel: -2.00 | Speed: 26.6 | DistToTarget: 486.1 | Colliding: False | NearestObstacle: 108.3
Step 14 | Time: 0.233s | Pos: (642.6, 360.7) | Vel: (30.5, 4.1) | Orient: 1.54 rad | AngVel: -2.00 | Speed: 30.8 | DistToTarget: 485.6 | Colliding: False | NearestObstacle: 108.3
Step 15 | Time: 0.250s | Pos: (643.2, 360.7) | Vel: (35.1, 4.1) | Orient: 1.50 rad | AngVel: -2.00 | Speed: 35.3 | DistToTarget: 485.1 | Colliding: False | NearestObstacle: 108.4
Step 16 | Time: 0.267s | Pos: (643.8, 360.8) | Vel: (40.0, 4.1) | Orient: 1.47 rad | AngVel: -2.00 | Speed: 40.2 | DistToTarget: 484.4 | Colliding: False | NearestObstacle: 108.5
Step 17 | Time: 0.283s | Pos: (644.6, 360.9) | Vel: (45.1, 4.1) | Orient: 1.44 rad | AngVel: -2.00 | Speed: 45.3 | DistToTarget: 483.7 | Colliding: False | NearestObstacle: 108.6
Step 18 | Time: 0.300s | Pos: (645.4, 360.9) | Vel: (50.6, 4.0) | Orient: 1.40 rad | AngVel: -2.00 | Speed: 50.7 | DistToTarget: 482.8 | Colliding: False | NearestObstacle: 108.7
Step 19 | Time: 0.317s | Pos: (646.4, 361.0) | Vel: (56.3, 3.9) | Orient: 1.37 rad | AngVel: -2.00 | Speed: 56.4 | DistToTarget: 481.9 | Colliding: False | NearestObstacle: 107.8
Step 20 | Time: 0.333s | Pos: (647.4, 361.1) | Vel: (62.3, 3.8) | Orient: 1.34 rad | AngVel: -2.00 | Speed: 62.4 | DistToTarget: 480.9 | Colliding: False | NearestObstacle: 106.8
Step 21 | Time: 0.350s | Pos: (648.5, 361.1) | Vel: (68.6, 3.6) | Orient: 1.30 rad | AngVel: -2.00 | Speed: 68.7 | DistToTarget: 479.7 | Colliding: False | NearestObstacle: 105.7
Step 22 | Time: 0.367s | Pos: (649.8, 361.2) | Vel: (75.2, 3.4) | Orient: 1.27 rad | AngVel: -2.00 | Speed: 75.2 | DistToTarget: 478.5 | Colliding: False | NearestObstacle: 104.4
Step 23 | Time: 0.383s | Pos: (651.2, 361.2) | Vel: (82.0, 3.1) | Orient: 1.24 rad | AngVel: -2.00 | Speed: 82.0 | DistToTarget: 477.1 | Colliding: False | NearestObstacle: 103.1
Step 24 | Time: 0.400s | Pos: (652.6, 361.3) | Vel: (89.0, 2.8) | Orient: 1.20 rad | AngVel: -2.00 | Speed: 89.1 | DistToTarget: 475.7 | Colliding: False | NearestObstacle: 101.6
