Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (0.6, -0.6) | Orient: -0.96 rad | AngVel: 2.00 | Speed: 0.8 | DistToTarget: 303.5 | Colliding: False | NearestObstacle: 115.7
Step 1 | Time: 0.017s | Pos: (640.0, 360.0) | Vel: (1.1, -1.0) | Orient: -0.92 rad | AngVel: 2.00 | Speed: 1.4 | DistToTarget: 303.5 | Colliding: False | NearestObstacle: 115.7
Step 2 | Time: 0.033s | Pos: (640.1, 360.0) | Vel: (1.6, -1.1) | Orient: -0.89 rad | AngVel: 2.00 | Speed: 1.9 | DistToTarget: 303.5 | Colliding: False | NearestObstacle: 115.7
Step 3 | Time: 0.050s | Pos: (640.1, 359.9) | Vel: (2.0, -1.1) | Orient: -0.86 rad | AngVel: 2.00 | Speed: 2.3 | DistToTarget: 303.5 | Colliding: False | NearestObstacle: 115.8
Step 4 | Time: 0.067s | Pos: (640.1, 359.9) | Vel: (2.4, -0.9) | Orient: -0.82 rad | AngVel: 2.00 | Speed: 2.6 | DistToTarget: 303.6 | Colliding: False | NearestObstacle: 115.8
Step 5 | Time: 0.083s | Pos: (640.2, 359.9) | Vel: (2.8, -0.5) | Orient: -0.79 rad | AngVel: 2.00 | Speed: 2.8 | DistToTarget: 303.6 | Colliding: False | NearestObstacle: 115.8
Step 6 | Time: 0.100s | Pos: (640.2, 359.9) | Vel: (3.1, 0.2) | Orient: -0.76 rad | AngVel: 2.00 | Speed: 3.1 | DistToTarget: 303.6 | Colliding: False | NearestObstacle: 115.9
Step 7 | Time: 0.117s | Pos: (640.3, 359.9) | Vel: (3.4, 1.0) | Orient: -0.72 rad | AngVel: 2.00 | Speed: 3.5 | DistToTarget: 303.6 | Colliding: False | NearestObstacle: 115.9
Step 8 | Time: 0.133s | Pos: (640.3, 360.0) | Vel: (3.7, 2.0) | Orient: -0.69 rad | AngVel: 2.00 | Speed: 4.2 | DistToTarget: 303.6 | Colliding: False | NearestObstacle: 115.9
Step 9 | Time: 0.150s | Pos: (640.4, 360.0) | Vel: (3.9, 3.3) | Orient: -0.66 rad | AngVel: 2.00 | Speed: 5.1 | DistToTarget: 303.5 | Colliding: False | NearestObstacle: 115.9
Step 10 | Time: 0.167s | Pos: (640.5, 360.1) | Vel: (4.1, 4.7) | Orient: -0.62 rad | AngVel: 2.00 | Speed: 6.2 | DistToTarget: 303.5 | Colliding: False | NearestObstacle: 115.9
Step 11 | Time: 0.183s | Pos: (640.5, 360.2) | Vel: (4.2, 6.4) | Orient: -0.59 rad | AngVel: 2.00 | Speed: 7.6 | DistToTarget: 303.4 | Colliding: False | NearestObstacle: 115.8
Step 12 | Time: 0.200s | Pos: (640.6, 360.3) | Vel: (4.3, 8.2) | Orient: -0.56 rad | AngVel: 2.00 | Speed: 9.3 | DistToTarget: 303.2 | Colliding: False | NearestObstacle: 115.8
Step 13 | Time: 0.217s | Pos: (640.7, 360.5) | Vel: (4.4, 10.2) | Orient: -0.52 rad | AngVel: 2.00 | Speed: 11.2 | DistToTarget: 303.1 | Colliding: False | NearestObstacle: 115.7
Step 14 | Time: 0.233s | Pos: (640.8, 360.7) | Vel: (4.5, 12.5) | Orient: -0.49 rad | AngVel: 2.00 | Speed: 13.3 | DistToTarget: 302.9 | Colliding: False | NearestObstacle: 115.5
Step 15 | Time: 0.250s | Pos: (640.8, 361.0) | Vel: (4.5, 14.9) | Orient: -0.46 rad | AngVel: 2.00 | Speed: 15.6 | DistToTarget: 302.7 | Colliding: False | NearestObstacle: 115.4
Step 16 | Time: 0.267s | Pos: (640.9, 361.3) | Vel: (4.5, 17.5) | Orient: -0.42 rad | AngVel: 2.00 | Speed: 18.1 | DistToTarget: 302.4 | Colliding: False | NearestObstacle: 115.2
Step 17 | Time: 0.283s | Pos: (641.0, 361.6) | Vel: (4.4, 20.4) | Orient: -0.39 rad | AngVel: 2.00 | Speed: 20.8 | DistToTarget: 302.1 | Colliding: False | NearestObstacle: 115.0
Step 18 | Time: 0.300s | Pos: (641.1, 362.0) | Vel: (4.3, 23.4) | Orient: -0.36 rad | AngVel: 2.00 | Speed: 23.8 | DistToTarget: 301.7 | Colliding: False | NearestObstacle: 114.7
Step 19 | Time: 0.317s | Pos: (641.1, 362.4) | Vel: (4.2, 26.6) | Orient: -0.32 rad | AngVel: 2.00 | Speed: 26.9 | DistToTarget: 301.3 | Colliding: False | NearestObstacle: 114.4
Step 20 | Time: 0.333s | Pos: (641.2, 362.9) | Vel: (4.1, 29.9) | Orient: -0.29 rad | AngVel: 2.00 | Speed: 30.2 | DistToTarget: 300.8 | Colliding: False | NearestObstacle: 114.1
Step 21 | Time: 0.350s | Pos: (641.3, 363.5) | Vel: (4.0, 33.5) | Orient: -0.26 rad | AngVel: 2.00 | Speed: 33.7 | DistToTarget: 300.3 | Colliding: False | NearestObstacle: 113.7
Step 22 | Time: 0.367s | Pos: (641.3, 364.1) | Vel: (3.8, 37.2) | Orient: -0.22 rad | AngVel: 2.00 | Speed: 37.4 | DistToTarget: 299.7 | Colliding: False | NearestObstacle: 113.2
Step 23 | Time: 0.383s | Pos: (641.4, 364.8) | Vel: (3.6, 41.2) | Orient: -0.19 rad | AngVel: 2.00 | Speed: 41.3 | DistToTarget: 299.0 | Colliding: False | NearestObstacle: 112.7
Step 24 | Time: 0.400s | Pos: (641.4, 365.6) | Vel: (3.4, 45.2) | Orient: -0.16 rad | AngVel: 2.00 | Speed: 45.4 | DistToTarget: 298.3 | Colliding: False | NearestObstacle: 112.2
Step 25 | Time: 0.417s | Pos: (641.5, 366.4) | Vel: (3.1, 49.5) | Orient: -0.12 rad | AngVel: 2.00 | Speed: 49.6 | DistToTarget: 297.5 | Colliding: False | NearestObstacle: 111.6
Step 26 | Time: 0.433s | Pos: (641.5, 367.3) | Vel: (2.9, 53.9) | Orient: -0.09 rad | AngVel: 2.00 | Speed: 54.0 | DistToTarget: 296.6 | Colliding: False | NearestObstacle: 110.9
Step 27 | Time: 0.450s | Pos: (641.6, 368.3) | Vel: (2.6, 58.5) | Orient: -0.06 rad | AngVel: 2.00 | Speed: 58.5 | DistToTarget: 295.6 | Colliding: False | NearestObstacle: 110.2
Step 28 | Time: 0.467s | Pos: (641.6, 369.3) | Vel: (2.4, 63.2) | Orient: -0.02 rad | AngVel: 2.00 | Speed: 63.3 | DistToTarget: 294.6 | Colliding: False | NearestObstacle: 109.4
Step 29 | Time: 0.483s | Pos: (641.7, 370.4) | Vel: (2.1, 68.1) | Orient: 0.01 rad | AngVel: 2.00 | Speed: 68.1 | DistToTarget: 293.5 | Colliding: False | NearestObstacle: 108.5
