Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (-1.1, -1.1) | Orient: 1.48 rad | AngVel: 2.00 | Speed: 1.5 | DistToTarget: 177.6 | Colliding: False | NearestObstacle: 102.8
Step 1 | Time: 0.017s | Pos: (639.9, 359.9) | Vel: (-2.2, -2.1) | Orient: 1.51 rad | AngVel: 2.00 | Speed: 3.0 | DistToTarget: 177.6 | Colliding: False | NearestObstacle: 102.9
Step 2 | Time: 0.033s | Pos: (639.9, 359.9) | Vel: (-3.3, -2.9) | Orient: 1.55 rad | AngVel: 2.00 | Speed: 4.4 | DistToTarget: 177.6 | Colliding: False | NearestObstacle: 102.9
Step 3 | Time: 0.050s | Pos: (639.8, 359.8) | Vel: (-4.5, -3.7) | Orient: 1.58 rad | AngVel: 2.00 | Speed: 5.8 | DistToTarget: 177.7 | Colliding: False | NearestObstacle: 103.0
Step 4 | Time: 0.067s | Pos: (639.7, 359.8) | Vel: (-5.7, -4.3) | Orient: 1.61 rad | AngVel: 2.00 | Speed: 7.1 | DistToTarget: 177.7 | Colliding: False | NearestObstacle: 103.1
Step 5 | Time: 0.083s | Pos: (639.6, 359.7) | Vel: (-6.9, -4.8) | Orient: 1.65 rad | AngVel: 2.00 | Speed: 8.4 | DistToTarget: 177.8 | Colliding: False | NearestObstacle: 103.3
Step 6 | Time: 0.100s | Pos: (639.5, 359.6) | Vel: (-8.1, -5.1) | Orient: 1.68 rad | AngVel: 2.00 | Speed: 9.6 | DistToTarget: 177.8 | Colliding: False | NearestObstacle: 103.4
Step 7 | Time: 0.117s | Pos: (639.3, 359.5) | Vel: (-9.4, -5.4) | Orient: 1.71 rad | AngVel: 2.00 | Speed: 10.8 | DistToTarget: 177.9 | Colliding: False | NearestObstacle: 103.6
Step 8 | Time: 0.133s | Pos: (639.1, 359.4) | Vel: (-10.6, -5.5) | Orient: 1.75 rad | AngVel: 2.00 | Speed: 12.0 | DistToTarget: 177.9 | Colliding: False | NearestObstacle: 103.8
Step 9 | Time: 0.150s | Pos: (638.9, 359.3) | Vel: (-11.9, -5.5) | Orient: 1.78 rad | AngVel: 2.00 | Speed: 13.1 | DistToTarget: 178.0 | Colliding: False | NearestObstacle: 104.0
Step 10 | Time: 0.167s | Pos: (638.7, 359.2) | Vel: (-13.2, -5.3) | Orient: 1.81 rad | AngVel: 1.44 | Speed: 14.2 | DistToTarget: 178.0 | Colliding: False | NearestObstacle: 104.2
Step 11 | Time: 0.183s | Pos: (638.5, 359.2) | Vel: (-14.5, -5.0) | Orient: 1.82 rad | AngVel: 0.70 | Speed: 15.4 | DistToTarget: 178.0 | Colliding: False | NearestObstacle: 104.4
Step 12 | Time: 0.200s | Pos: (638.2, 359.1) | Vel: (-15.9, -4.6) | Orient: 1.82 rad | AngVel: 0.06 | Speed: 16.5 | DistToTarget: 178.0 | Colliding: False | NearestObstacle: 104.7
Step 13 | Time: 0.217s | Pos: (637.9, 359.0) | Vel: (-17.2, -4.1) | Orient: 1.81 rad | AngVel: -0.35 | Speed: 17.7 | DistToTarget: 178.0 | Colliding: False | NearestObstacle: 104.9
Step 14 | Time: 0.233s | Pos: (637.6, 359.0) | Vel: (-18.6, -3.4) | Orient: 1.80 rad | AngVel: -0.51 | Speed: 18.9 | DistToTarget: 178.0 | Colliding: False | NearestObstacle: 105.1
Step 15 | Time: 0.250s | Pos: (637.3, 358.9) | Vel: (-20.0, -2.6) | Orient: 1.80 rad | AngVel: -0.50 | Speed: 20.2 | DistToTarget: 178.0 | Colliding: False | NearestObstacle: 105.4
Step 16 | Time: 0.267s | Pos: (636.9, 358.9) | Vel: (-21.4, -1.7) | Orient: 1.79 rad | AngVel: -0.38 | Speed: 21.5 | DistToTarget: 177.9 | Colliding: False | NearestObstacle: 105.7
Step 17 | Time: 0.283s | Pos: (636.5, 358.9) | Vel: (-22.8, -0.6) | Orient: 1.78 rad | AngVel: -0.25 | Speed: 22.8 | DistToTarget: 177.9 | Colliding: False | NearestObstacle: 105.9
Step 18 | Time: 0.300s | Pos: (636.1, 358.9) | Vel: (-24.2, 0.6) | Orient: 1.78 rad | AngVel: -0.14 | Speed: 24.3 | DistToTarget: 177.8 | Colliding: False | NearestObstacle: 106.2
Step 19 | Time: 0.317s | Pos: (635.7, 358.9) | Vel: (-25.7, 2.0) | Orient: 1.78 rad | AngVel: -0.08 | Speed: 25.8 | DistToTarget: 177.7 | Colliding: False | NearestObstacle: 106.4
Step 20 | Time: 0.333s | Pos: (635.3, 359.0) | Vel: (-27.1, 3.4) | Orient: 1.78 rad | AngVel: -0.07 | Speed: 27.4 | DistToTarget: 177.5 | Colliding: False | NearestObstacle: 106.7
Step 21 | Time: 0.350s | Pos: (634.8, 359.1) | Vel: (-28.6, 5.0) | Orient: 1.78 rad | AngVel: -0.08 | Speed: 29.0 | DistToTarget: 177.3 | Colliding: False | NearestObstacle: 107.0
Step 22 | Time: 0.367s | Pos: (634.3, 359.2) | Vel: (-30.1, 6.8) | Orient: 1.78 rad | AngVel: -0.11 | Speed: 30.8 | DistToTarget: 177.1 | Colliding: False | NearestObstacle: 107.2
