Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (-1.8, -0.7) | Orient: 2.70 rad | AngVel: -2.00 | Speed: 2.0 | DistToTarget: 219.1 | Colliding: False | NearestObstacle: 102.5
Step 1 | Time: 0.017s | Pos: (639.9, 360.0) | Vel: (-3.6, -1.4) | Orient: 2.67 rad | AngVel: -2.00 | Speed: 3.8 | DistToTarget: 219.1 | Colliding: False | NearestObstacle: 102.5
Step 2 | Time: 0.033s | Pos: (639.8, 359.9) | Vel: (-5.1, -2.2) | Orient: 2.64 rad | AngVel: -2.00 | Speed: 5.6 | DistToTarget: 219.2 | Colliding: False | NearestObstacle: 102.6
Step 3 | Time: 0.050s | Pos: (639.7, 359.9) | Vel: (-6.5, -3.0) | Orient: 2.60 rad | AngVel: -2.00 | Speed: 7.2 | DistToTarget: 219.3 | Colliding: False | NearestObstacle: 102.7
Step 4 | Time: 0.067s | Pos: (639.6, 359.8) | Vel: (-7.8, -3.9) | Orient: 2.57 rad | AngVel: -2.00 | Speed: 8.7 | DistToTarget: 219.4 | Colliding: False | NearestObstacle: 102.9
Step 5 | Time: 0.083s | Pos: (639.4, 359.7) | Vel: (-8.9, -4.9) | Orient: 2.54 rad | AngVel: -2.00 | Speed: 10.2 | DistToTarget: 219.5 | Colliding: False | NearestObstacle: 103.1
Step 6 | Time: 0.100s | Pos: (639.3, 359.6) | Vel: (-9.9, -5.9) | Orient: 2.50 rad | AngVel: -2.00 | Speed: 11.5 | DistToTarget: 219.6 | Colliding: False | NearestObstacle: 103.2
Step 7 | Time: 0.117s | Pos: (639.1, 359.5) | Vel: (-10.7, -6.9) | Orient: 2.47 rad | AngVel: -2.00 | Speed: 12.7 | DistToTarget: 219.7 | Colliding: False | NearestObstacle: 103.4
Step 8 | Time: 0.133s | Pos: (638.9, 359.4) | Vel: (-11.3, -8.0) | Orient: 2.44 rad | AngVel: -2.00 | Speed: 13.9 | DistToTarget: 219.8 | Colliding: False | NearestObstacle: 103.7
Step 9 | Time: 0.150s | Pos: (638.7, 359.2) | Vel: (-11.8, -9.1) | Orient: 2.40 rad | AngVel: -2.00 | Speed: 14.9 | DistToTarget: 220.0 | Colliding: False | NearestObstacle: 103.9
Step 10 | Time: 0.167s | Pos: (638.5, 359.1) | Vel: (-12.2, -10.3) | Orient: 2.37 rad | AngVel: -2.00 | Speed: 16.0 | DistToTarget: 220.1 | Colliding: False | NearestObstacle: 104.1
Step 11 | Time: 0.183s | Pos: (638.3, 358.9) | Vel: (-12.3, -11.6) | Orient: 2.34 rad | AngVel: -2.00 | Speed: 16.9 | DistToTarget: 220.2 | Colliding: False | NearestObstacle: 104.4
Step 12 | Time: 0.200s | Pos: (638.1, 358.7) | Vel: (-12.3, -12.9) | Orient: 2.30 rad | AngVel: -2.00 | Speed: 17.8 | DistToTarget: 220.3 | Colliding: False | NearestObstacle: 104.7
Step 13 | Time: 0.217s | Pos: (637.9, 358.4) | Vel: (-12.2, -14.2) | Orient: 2.27 rad | AngVel: -2.00 | Speed: 18.7 | DistToTarget: 220.4 | Colliding: False | NearestObstacle: 104.9
Step 14 | Time: 0.233s | Pos: (637.7, 358.2) | Vel: (-11.9, -15.6) | Orient: 2.24 rad | AngVel: -2.00 | Speed: 19.6 | DistToTarget: 220.5 | Colliding: False | NearestObstacle: 105.2
Step 15 | Time: 0.250s | Pos: (637.5, 357.9) | Vel: (-11.4, -17.0) | Orient: 2.20 rad | AngVel: -2.00 | Speed: 20.5 | DistToTarget: 220.6 | Colliding: False | NearestObstacle: 105.5
Step 16 | Time: 0.267s | Pos: (637.3, 357.6) | Vel: (-10.7, -18.5) | Orient: 2.17 rad | AngVel: -2.00 | Speed: 21.4 | DistToTarget: 220.7 | Colliding: False | NearestObstacle: 105.7
Step 17 | Time: 0.283s | Pos: (637.2, 357.2) | Vel: (-9.9, -20.0) | Orient: 2.14 rad | AngVel: -2.00 | Speed: 22.3 | DistToTarget: 220.7 | Colliding: False | NearestObstacle: 106.0
