Step 0 | Time: 0.000s | Pos: (641.0, 360.6) | Vel: (60.7, 34.7) | Orient: -0.02 rad | AngVel: 83.88 | Speed: 69.9 | DistToTarget: 575.0 | Colliding: False | NearestObstacle: 113.2
Step 1 | Time: 0.017s | Pos: (642.9, 361.7) | Vel: (115.1, 66.1) | Orient: -2.71 rad | AngVel: -161.46 | Speed: 132.7 | DistToTarget: 577.2 | Colliding: False | NearestObstacle: 115.4
Step 2 | Time: 0.033s | Pos: (645.5, 363.2) | Vel: (156.7, 90.5) | Orient: 2.14 rad | AngVel: -86.32 | Speed: 180.9 | DistToTarget: 580.2 | Colliding: False | NearestObstacle: 118.3
Step 3 | Time: 0.050s | Pos: (648.6, 365.0) | Vel: (183.2, 106.5) | Orient: 1.76 rad | AngVel: -22.91 | Speed: 211.9 | DistToTarget: 583.8 | Colliding: False | NearestObstacle: 121.8
Step 4 | Time: 0.067s | Pos: (651.9, 366.9) | Vel: (196.5, 115.1) | Orient: 2.06 rad | AngVel: 18.19 | Speed: 227.8 | DistToTarget: 587.6 | Colliding: False | NearestObstacle: 125.5
Step 5 | Time: 0.083s | Pos: (655.2, 368.9) | Vel: (200.4, 118.5) | Orient: 2.66 rad | AngVel: 36.27 | Speed: 232.8 | DistToTarget: 591.4 | Colliding: False | NearestObstacle: 129.3
Step 6 | Time: 0.100s | Pos: (658.5, 370.8) | Vel: (198.2, 118.4) | Orient: -3.02 rad | AngVel: 36.26 | Speed: 230.9 | DistToTarget: 595.3 | Colliding: False | NearestObstacle: 133.1
Step 7 | Time: 0.117s | Pos: (661.7, 372.8) | Vel: (192.4, 116.4) | Orient: -2.58 rad | AngVel: 26.20 | Speed: 224.9 | DistToTarget: 599.0 | Colliding: False | NearestObstacle: 136.8
Step 8 | Time: 0.133s | Pos: (664.8, 374.7) | Vel: (184.6, 113.2) | Orient: -2.36 rad | AngVel: 13.33 | Speed: 216.6 | DistToTarget: 602.6 | Colliding: False | NearestObstacle: 140.3
Step 9 | Time: 0.150s | Pos: (667.7, 376.5) | Vel: (175.6, 109.3) | Orient: -2.32 rad | AngVel: 2.44 | Speed: 206.9 | DistToTarget: 606.1 | Colliding: False | NearestObstacle: 143.7
Step 10 | Time: 0.167s | Pos: (670.5, 378.2) | Vel: (165.9, 105.1) | Orient: -2.39 rad | AngVel: -4.36 | Speed: 196.4 | DistToTarget: 609.3 | Colliding: False | NearestObstacle: 146.9
Step 11 | Time: 0.183s | Pos: (673.1, 379.9) | Vel: (155.7, 100.6) | Orient: -2.51 rad | AngVel: -6.99 | Speed: 185.4 | DistToTarget: 612.4 | Colliding: False | NearestObstacle: 150.0
Step 12 | Time: 0.200s | Pos: (675.5, 381.5) | Vel: (145.2, 95.9) | Orient: -2.61 rad | AngVel: -6.52 | Speed: 174.0 | DistToTarget: 615.3 | Colliding: False | NearestObstacle: 152.8
Step 13 | Time: 0.217s | Pos: (677.7, 383.0) | Vel: (134.4, 91.1) | Orient: -2.69 rad | AngVel: -4.44 | Speed: 162.3 | DistToTarget: 618.0 | Colliding: False | NearestObstacle: 155.4
Step 14 | Time: 0.233s | Pos: (679.8, 384.5) | Vel: (123.2, 86.1) | Orient: -2.72 rad | AngVel: -2.02 | Speed: 150.3 | DistToTarget: 620.5 | Colliding: False | NearestObstacle: 157.9
Step 15 | Time: 0.250s | Pos: (681.7, 385.8) | Vel: (111.8, 81.1) | Orient: -2.72 rad | AngVel: -0.09 | Speed: 138.1 | DistToTarget: 622.7 | Colliding: False | NearestObstacle: 160.1
Step 16 | Time: 0.267s | Pos: (683.3, 387.1) | Vel: (100.0, 75.9) | Orient: -2.71 rad | AngVel: 1.04 | Speed: 125.5 | DistToTarget: 624.8 | Colliding: False | NearestObstacle: 162.1
