Step 0 | Time: 0.000s | Pos: (639.7, 359.1) | Vel: (-20.2, -55.1) | Orient: -2.55 rad | AngVel: -37.36 | Speed: 58.7 | DistToTarget: 233.0 | Colliding: False | NearestObstacle: 104.0
Step 1 | Time: 0.017s | Pos: (639.0, 357.3) | Vel: (-40.2, -105.6) | Orient: 2.93 rad | AngVel: -48.04 | Speed: 113.0 | DistToTarget: 234.2 | Colliding: False | NearestObstacle: 105.7
Step 2 | Time: 0.033s | Pos: (638.0, 354.9) | Vel: (-58.6, -145.6) | Orient: 2.25 rad | AngVel: -40.77 | Speed: 157.0 | DistToTarget: 235.8 | Colliding: False | NearestObstacle: 108.1
Step 3 | Time: 0.050s | Pos: (636.8, 352.0) | Vel: (-74.5, -172.6) | Orient: 1.83 rad | AngVel: -25.65 | Speed: 188.0 | DistToTarget: 237.6 | Colliding: False | NearestObstacle: 110.9
Step 4 | Time: 0.067s | Pos: (635.3, 348.9) | Vel: (-87.9, -187.2) | Orient: 1.65 rad | AngVel: -10.36 | Speed: 206.8 | DistToTarget: 239.7 | Colliding: False | NearestObstacle: 114.0
Step 5 | Time: 0.083s | Pos: (633.7, 345.7) | Vel: (-99.2, -192.2) | Orient: 1.67 rad | AngVel: 0.86 | Speed: 216.3 | DistToTarget: 241.7 | Colliding: False | NearestObstacle: 117.2
Step 6 | Time: 0.100s | Pos: (631.8, 342.5) | Vel: (-109.3, -190.4) | Orient: 1.78 rad | AngVel: 6.73 | Speed: 219.6 | DistToTarget: 243.6 | Colliding: False | NearestObstacle: 120.4
Step 7 | Time: 0.117s | Pos: (629.9, 339.4) | Vel: (-118.6, -184.4) | Orient: 1.91 rad | AngVel: 7.95 | Speed: 219.2 | DistToTarget: 245.5 | Colliding: False | NearestObstacle: 123.5
Step 8 | Time: 0.133s | Pos: (627.7, 336.5) | Vel: (-127.4, -175.7) | Orient: 2.02 rad | AngVel: 6.21 | Speed: 217.0 | DistToTarget: 247.2 | Colliding: False | NearestObstacle: 126.5
Step 9 | Time: 0.150s | Pos: (625.5, 333.8) | Vel: (-135.9, -165.5) | Orient: 2.07 rad | AngVel: 3.29 | Speed: 214.1 | DistToTarget: 248.7 | Colliding: False | NearestObstacle: 129.3
Step 10 | Time: 0.167s | Pos: (623.1, 331.2) | Vel: (-144.2, -154.3) | Orient: 2.08 rad | AngVel: 0.51 | Speed: 211.2 | DistToTarget: 250.0 | Colliding: False | NearestObstacle: 132.1
