Step 0 | Time: 0.000s | Pos: (639.4, 359.8) | Vel: (-35.8, -13.8) | Orient: -0.96 rad | AngVel: 37.61 | Speed: 38.3 | DistToTarget: 472.0 | Colliding: False | NearestObstacle: 104.0
Step 1 | Time: 0.017s | Pos: (638.3, 359.3) | Vel: (-68.5, -25.6) | Orient: -0.15 rad | AngVel: 48.19 | Speed: 73.1 | DistToTarget: 473.1 | Colliding: False | NearestObstacle: 105.2
Step 2 | Time: 0.033s | Pos: (636.7, 358.8) | Vel: (-95.6, -34.5) | Orient: 0.52 rad | AngVel: 40.62 | Speed: 101.6 | DistToTarget: 474.7 | Colliding: False | NearestObstacle: 106.9
Step 3 | Time: 0.050s | Pos: (634.7, 358.1) | Vel: (-115.7, -39.7) | Orient: 0.94 rad | AngVel: 25.14 | Speed: 122.4 | DistToTarget: 476.6 | Colliding: False | NearestObstacle: 108.9
Step 4 | Time: 0.067s | Pos: (632.6, 357.4) | Vel: (-128.8, -41.4) | Orient: 1.10 rad | AngVel: 9.53 | Speed: 135.3 | DistToTarget: 478.8 | Colliding: False | NearestObstacle: 111.2
Step 5 | Time: 0.083s | Pos: (630.3, 356.8) | Vel: (-135.7, -39.8) | Orient: 1.07 rad | AngVel: -1.89 | Speed: 141.4 | DistToTarget: 480.9 | Colliding: False | NearestObstacle: 113.5
Step 6 | Time: 0.100s | Pos: (628.0, 356.2) | Vel: (-137.5, -35.5) | Orient: 0.94 rad | AngVel: -7.85 | Speed: 142.0 | DistToTarget: 483.1 | Colliding: False | NearestObstacle: 115.8
Step 7 | Time: 0.117s | Pos: (625.8, 355.7) | Vel: (-135.6, -29.1) | Orient: 0.79 rad | AngVel: -9.07 | Speed: 138.7 | DistToTarget: 485.2 | Colliding: False | NearestObstacle: 118.1
Step 8 | Time: 0.133s | Pos: (623.6, 355.3) | Vel: (-131.0, -20.8) | Orient: 0.67 rad | AngVel: -7.28 | Speed: 132.7 | DistToTarget: 487.1 | Colliding: False | NearestObstacle: 120.2
Step 9 | Time: 0.150s | Pos: (621.5, 355.1) | Vel: (-124.5, -11.1) | Orient: 0.60 rad | AngVel: -4.28 | Speed: 125.0 | DistToTarget: 488.9 | Colliding: False | NearestObstacle: 122.1
Step 10 | Time: 0.167s | Pos: (619.6, 355.1) | Vel: (-116.5, -0.1) | Orient: 0.57 rad | AngVel: -1.45 | Speed: 116.5 | DistToTarget: 490.4 | Colliding: False | NearestObstacle: 123.9
Step 11 | Time: 0.183s | Pos: (617.8, 355.3) | Vel: (-107.5, 12.0) | Orient: 0.58 rad | AngVel: 0.52 | Speed: 108.2 | DistToTarget: 491.7 | Colliding: False | NearestObstacle: 125.5
Step 12 | Time: 0.200s | Pos: (616.2, 355.8) | Vel: (-97.7, 25.3) | Orient: 0.60 rad | AngVel: 1.44 | Speed: 100.9 | DistToTarget: 492.8 | Colliding: False | NearestObstacle: 126.8
Step 13 | Time: 0.217s | Pos: (614.7, 356.4) | Vel: (-87.2, 39.5) | Orient: 0.63 rad | AngVel: 1.51 | Speed: 95.7 | DistToTarget: 493.5 | Colliding: False | NearestObstacle: 127.9
Step 14 | Time: 0.233s | Pos: (613.4, 357.3) | Vel: (-76.0, 54.6) | Orient: 0.65 rad | AngVel: 1.08 | Speed: 93.6 | DistToTarget: 494.0 | Colliding: False | NearestObstacle: 128.7
Step 15 | Time: 0.250s | Pos: (612.4, 358.5) | Vel: (-64.3, 70.3) | Orient: 0.66 rad | AngVel: 0.48 | Speed: 95.3 | DistToTarget: 494.1 | Colliding: False | NearestObstacle: 129.2
Step 16 | Time: 0.267s | Pos: (611.5, 359.9) | Vel: (-52.0, 86.3) | Orient: 0.65 rad | AngVel: -0.05 | Speed: 100.8 | DistToTarget: 494.0 | Colliding: False | NearestObstacle: 129.5
Step 17 | Time: 0.283s | Pos: (610.8, 361.6) | Vel: (-39.5, 102.0) | Orient: 0.65 rad | AngVel: -0.40 | Speed: 109.4 | DistToTarget: 493.5 | Colliding: False | NearestObstacle: 129.5
Step 18 | Time: 0.300s | Pos: (610.4, 363.6) | Vel: (-26.9, 116.9) | Orient: 0.64 rad | AngVel: -0.55 | Speed: 119.9 | DistToTarget: 492.7 | Colliding: False | NearestObstacle: 129.2
Step 19 | Time: 0.317s | Pos: (610.1, 365.8) | Vel: (-14.7, 130.4) | Orient: 0.63 rad | AngVel: -0.55 | Speed: 131.2 | DistToTarget: 491.6 | Colliding: False | NearestObstacle: 128.7
Step 20 | Time: 0.333s | Pos: (610.1, 368.1) | Vel: (-3.3, 142.3) | Orient: 0.62 rad | AngVel: -0.46 | Speed: 142.3 | DistToTarget: 490.3 | Colliding: False | NearestObstacle: 127.9
Step 21 | Time: 0.350s | Pos: (610.2, 370.7) | Vel: (6.9, 152.3) | Orient: 0.62 rad | AngVel: -0.36 | Speed: 152.5 | DistToTarget: 488.7 | Colliding: False | NearestObstacle: 127.0
Step 22 | Time: 0.367s | Pos: (610.5, 373.4) | Vel: (15.8, 160.6) | Orient: 0.61 rad | AngVel: -0.27 | Speed: 161.4 | DistToTarget: 486.9 | Colliding: False | NearestObstacle: 125.9
Step 23 | Time: 0.383s | Pos: (610.9, 376.1) | Vel: (23.1, 167.2) | Orient: 0.61 rad | AngVel: -0.21 | Speed: 168.8 | DistToTarget: 485.0 | Colliding: False | NearestObstacle: 124.7
Step 24 | Time: 0.400s | Pos: (611.3, 379.0) | Vel: (29.0, 172.5) | Orient: 0.60 rad | AngVel: -0.20 | Speed: 174.9 | DistToTarget: 483.0 | Colliding: False | NearestObstacle: 123.5
Step 25 | Time: 0.417s | Pos: (611.9, 382.0) | Vel: (33.5, 176.6) | Orient: 0.60 rad | AngVel: -0.21 | Speed: 179.8 | DistToTarget: 480.9 | Colliding: False | NearestObstacle: 122.2
Step 26 | Time: 0.433s | Pos: (612.5, 385.0) | Vel: (36.7, 180.0) | Orient: 0.60 rad | AngVel: -0.23 | Speed: 183.7 | DistToTarget: 478.7 | Colliding: False | NearestObstacle: 120.8
Step 27 | Time: 0.450s | Pos: (613.2, 388.0) | Vel: (38.8, 182.8) | Orient: 0.59 rad | AngVel: -0.25 | Speed: 186.9 | DistToTarget: 476.4 | Colliding: False | NearestObstacle: 119.5
Step 28 | Time: 0.467s | Pos: (613.8, 391.1) | Vel: (40.0, 185.3) | Orient: 0.59 rad | AngVel: -0.28 | Speed: 189.5 | DistToTarget: 474.1 | Colliding: False | NearestObstacle: 118.2
Step 29 | Time: 0.483s | Pos: (614.5, 394.2) | Vel: (40.4, 187.5) | Orient: 0.58 rad | AngVel: -0.29 | Speed: 191.8 | DistToTarget: 471.9 | Colliding: False | NearestObstacle: 116.9
Step 30 | Time: 0.500s | Pos: (615.2, 397.4) | Vel: (40.2, 189.7) | Orient: 0.58 rad | AngVel: -0.30 | Speed: 193.9 | DistToTarget: 469.6 | Colliding: False | NearestObstacle: 115.7
Step 31 | Time: 0.517s | Pos: (615.8, 400.6) | Vel: (39.5, 191.9) | Orient: 0.57 rad | AngVel: -0.30 | Speed: 196.0 | DistToTarget: 467.3 | Colliding: False | NearestObstacle: 114.5
Step 32 | Time: 0.533s | Pos: (616.5, 403.8) | Vel: (38.5, 194.2) | Orient: 0.57 rad | AngVel: -0.31 | Speed: 198.0 | DistToTarget: 465.0 | Colliding: False | NearestObstacle: 113.5
Step 33 | Time: 0.550s | Pos: (617.1, 407.1) | Vel: (37.3, 196.6) | Orient: 0.56 rad | AngVel: -0.31 | Speed: 200.1 | DistToTarget: 462.7 | Colliding: False | NearestObstacle: 112.5
Step 34 | Time: 0.567s | Pos: (617.7, 410.4) | Vel: (36.0, 199.0) | Orient: 0.56 rad | AngVel: -0.32 | Speed: 202.3 | DistToTarget: 460.4 | Colliding: False | NearestObstacle: 111.5
Step 35 | Time: 0.583s | Pos: (618.3, 413.8) | Vel: (34.7, 201.6) | Orient: 0.55 rad | AngVel: -0.33 | Speed: 204.6 | DistToTarget: 458.2 | Colliding: False | NearestObstacle: 110.7
Step 36 | Time: 0.600s | Pos: (618.8, 417.2) | Vel: (33.5, 204.4) | Orient: 0.55 rad | AngVel: -0.34 | Speed: 207.1 | DistToTarget: 455.9 | Colliding: False | NearestObstacle: 110.0
Step 37 | Time: 0.617s | Pos: (619.4, 420.6) | Vel: (32.4, 207.2) | Orient: 0.54 rad | AngVel: -0.35 | Speed: 209.7 | DistToTarget: 453.7 | Colliding: False | NearestObstacle: 109.3
Step 38 | Time: 0.633s | Pos: (619.9, 424.1) | Vel: (31.6, 210.1) | Orient: 0.54 rad | AngVel: -0.36 | Speed: 212.5 | DistToTarget: 451.4 | Colliding: False | NearestObstacle: 108.7
Step 39 | Time: 0.650s | Pos: (620.4, 427.7) | Vel: (31.2, 213.1) | Orient: 0.53 rad | AngVel: -0.37 | Speed: 215.4 | DistToTarget: 449.2 | Colliding: False | NearestObstacle: 108.3
