Step 0 | Time: 0.000s | Pos: (640.2, 359.6) | Vel: (9.9, -23.5) | Orient: -1.15 rad | AngVel: 29.58 | Speed: 25.5 | DistToTarget: 90.5 | Colliding: False | NearestObstacle: 177.4
Step 1 | Time: 0.017s | Pos: (640.5, 358.8) | Vel: (19.9, -46.3) | Orient: -0.51 rad | AngVel: 38.15 | Speed: 50.4 | DistToTarget: 90.3 | Colliding: False | NearestObstacle: 178.2
Step 2 | Time: 0.033s | Pos: (641.0, 357.7) | Vel: (29.4, -67.4) | Orient: 0.03 rad | AngVel: 32.57 | Speed: 73.5 | DistToTarget: 90.0 | Colliding: False | NearestObstacle: 179.4
Step 3 | Time: 0.050s | Pos: (641.6, 356.3) | Vel: (38.0, -85.9) | Orient: 0.38 rad | AngVel: 20.76 | Speed: 94.0 | DistToTarget: 89.6 | Colliding: False | NearestObstacle: 181.0
Step 4 | Time: 0.067s | Pos: (642.4, 354.6) | Vel: (45.7, -101.4) | Orient: 0.52 rad | AngVel: 8.79 | Speed: 111.2 | DistToTarget: 89.2 | Colliding: False | NearestObstacle: 182.8
Step 5 | Time: 0.083s | Pos: (643.2, 352.7) | Vel: (52.1, -113.6) | Orient: 0.52 rad | AngVel: 0.06 | Speed: 125.0 | DistToTarget: 88.7 | Colliding: False | NearestObstacle: 184.8
Step 6 | Time: 0.100s | Pos: (644.2, 350.7) | Vel: (57.3, -122.8) | Orient: 0.45 rad | AngVel: -4.44 | Speed: 135.5 | DistToTarget: 88.3 | Colliding: False | NearestObstacle: 187.1
Step 7 | Time: 0.117s | Pos: (645.2, 348.5) | Vel: (61.6, -129.2) | Orient: 0.36 rad | AngVel: -5.28 | Speed: 143.1 | DistToTarget: 87.8 | Colliding: False | NearestObstacle: 189.4
Step 8 | Time: 0.133s | Pos: (646.3, 346.3) | Vel: (64.9, -133.5) | Orient: 0.30 rad | AngVel: -3.80 | Speed: 148.4 | DistToTarget: 87.4 | Colliding: False | NearestObstacle: 191.9
Step 9 | Time: 0.150s | Pos: (647.4, 344.0) | Vel: (67.6, -135.9) | Orient: 0.28 rad | AngVel: -1.41 | Speed: 151.8 | DistToTarget: 87.1 | Colliding: False | NearestObstacle: 194.4
Step 10 | Time: 0.167s | Pos: (648.6, 341.7) | Vel: (69.7, -137.0) | Orient: 0.29 rad | AngVel: 0.83 | Speed: 153.7 | DistToTarget: 86.7 | Colliding: False | NearestObstacle: 196.9
Step 11 | Time: 0.183s | Pos: (649.8, 339.4) | Vel: (71.5, -137.0) | Orient: 0.33 rad | AngVel: 2.37 | Speed: 154.5 | DistToTarget: 86.5 | Colliding: False | NearestObstacle: 199.4
Step 12 | Time: 0.200s | Pos: (651.0, 337.2) | Vel: (73.0, -136.2) | Orient: 0.38 rad | AngVel: 3.08 | Speed: 154.5 | DistToTarget: 86.2 | Colliding: False | NearestObstacle: 201.9
Step 13 | Time: 0.217s | Pos: (652.2, 334.9) | Vel: (74.2, -134.8) | Orient: 0.43 rad | AngVel: 3.13 | Speed: 153.8 | DistToTarget: 86.0 | Colliding: False | NearestObstacle: 204.5
Step 14 | Time: 0.233s | Pos: (653.5, 332.7) | Vel: (75.4, -132.9) | Orient: 0.48 rad | AngVel: 2.78 | Speed: 152.8 | DistToTarget: 85.9 | Colliding: False | NearestObstacle: 206.9
Step 15 | Time: 0.250s | Pos: (654.8, 330.5) | Vel: (76.4, -130.7) | Orient: 0.52 rad | AngVel: 2.30 | Speed: 151.4 | DistToTarget: 85.8 | Colliding: False | NearestObstacle: 209.4
Step 16 | Time: 0.267s | Pos: (656.1, 328.4) | Vel: (77.4, -128.3) | Orient: 0.55 rad | AngVel: 1.87 | Speed: 149.8 | DistToTarget: 85.8 | Colliding: False | NearestObstacle: 211.8
Step 17 | Time: 0.283s | Pos: (657.4, 326.3) | Vel: (78.3, -125.6) | Orient: 0.58 rad | AngVel: 1.59 | Speed: 148.0 | DistToTarget: 85.7 | Colliding: False | NearestObstacle: 214.2
Step 18 | Time: 0.300s | Pos: (658.7, 324.3) | Vel: (79.2, -122.8) | Orient: 0.60 rad | AngVel: 1.46 | Speed: 146.2 | DistToTarget: 85.8 | Colliding: False | NearestObstacle: 216.6
Step 19 | Time: 0.317s | Pos: (660.0, 322.3) | Vel: (80.1, -119.9) | Orient: 0.62 rad | AngVel: 1.44 | Speed: 144.2 | DistToTarget: 85.8 | Colliding: False | NearestObstacle: 218.9
Step 20 | Time: 0.333s | Pos: (661.4, 320.3) | Vel: (81.0, -116.8) | Orient: 0.65 rad | AngVel: 1.49 | Speed: 142.2 | DistToTarget: 85.9 | Colliding: False | NearestObstacle: 221.2
Step 21 | Time: 0.350s | Pos: (662.7, 318.4) | Vel: (81.9, -113.7) | Orient: 0.67 rad | AngVel: 1.55 | Speed: 140.1 | DistToTarget: 85.9 | Colliding: False | NearestObstacle: 223.4
Step 22 | Time: 0.367s | Pos: (664.1, 316.6) | Vel: (82.7, -110.5) | Orient: 0.70 rad | AngVel: 1.60 | Speed: 138.0 | DistToTarget: 86.1 | Colliding: False | NearestObstacle: 225.6
Step 23 | Time: 0.383s | Pos: (665.5, 314.8) | Vel: (83.6, -107.2) | Orient: 0.73 rad | AngVel: 1.61 | Speed: 135.9 | DistToTarget: 86.2 | Colliding: False | NearestObstacle: 227.7
Step 24 | Time: 0.400s | Pos: (666.9, 313.1) | Vel: (84.5, -103.8) | Orient: 0.75 rad | AngVel: 1.60 | Speed: 133.8 | DistToTarget: 86.3 | Colliding: False | NearestObstacle: 229.8
Step 25 | Time: 0.417s | Pos: (668.3, 311.4) | Vel: (85.3, -100.4) | Orient: 0.78 rad | AngVel: 1.57 | Speed: 131.7 | DistToTarget: 86.4 | Colliding: False | NearestObstacle: 231.8
