Step 0 | Time: 0.000s | Pos: (640.8, 360.0) | Vel: (45.8, -1.7) | Orient: 1.74 rad | AngVel: 43.49 | Speed: 45.8 | DistToTarget: 406.5 | Colliding: False | NearestObstacle: 117.5
Step 1 | Time: 0.017s | Pos: (642.2, 359.9) | Vel: (87.5, -4.0) | Orient: 2.67 rad | AngVel: 55.67 | Speed: 87.6 | DistToTarget: 407.8 | Colliding: False | NearestObstacle: 119.0
Step 2 | Time: 0.033s | Pos: (644.2, 359.8) | Vel: (121.2, -7.0) | Orient: -2.84 rad | AngVel: 46.84 | Speed: 121.4 | DistToTarget: 409.5 | Colliding: False | NearestObstacle: 121.0
Step 3 | Time: 0.050s | Pos: (646.7, 359.6) | Vel: (144.9, -10.6) | Orient: -2.36 rad | AngVel: 28.93 | Speed: 145.3 | DistToTarget: 411.6 | Colliding: False | NearestObstacle: 123.4
Step 4 | Time: 0.067s | Pos: (649.3, 359.4) | Vel: (158.7, -14.7) | Orient: -2.17 rad | AngVel: 10.91 | Speed: 159.4 | DistToTarget: 413.8 | Colliding: False | NearestObstacle: 126.1
Step 5 | Time: 0.083s | Pos: (652.0, 359.0) | Vel: (164.2, -19.3) | Orient: -2.21 rad | AngVel: -2.26 | Speed: 165.3 | DistToTarget: 416.1 | Colliding: False | NearestObstacle: 128.8
Step 6 | Time: 0.100s | Pos: (654.8, 358.6) | Vel: (163.3, -24.3) | Orient: -2.36 rad | AngVel: -9.14 | Speed: 165.1 | DistToTarget: 418.4 | Colliding: False | NearestObstacle: 131.6
Step 7 | Time: 0.117s | Pos: (657.4, 358.1) | Vel: (157.8, -30.0) | Orient: -2.54 rad | AngVel: -10.54 | Speed: 160.7 | DistToTarget: 420.5 | Colliding: False | NearestObstacle: 134.2
Step 8 | Time: 0.133s | Pos: (659.9, 357.5) | Vel: (149.3, -36.1) | Orient: -2.68 rad | AngVel: -8.47 | Speed: 153.6 | DistToTarget: 422.5 | Colliding: False | NearestObstacle: 136.8
Step 9 | Time: 0.150s | Pos: (662.2, 356.8) | Vel: (138.5, -42.9) | Orient: -2.76 rad | AngVel: -5.02 | Speed: 145.0 | DistToTarget: 424.2 | Colliding: False | NearestObstacle: 139.1
Step 10 | Time: 0.167s | Pos: (664.3, 356.0) | Vel: (126.2, -50.4) | Orient: -2.79 rad | AngVel: -1.74 | Speed: 135.9 | DistToTarget: 425.8 | Colliding: False | NearestObstacle: 141.3
Step 11 | Time: 0.183s | Pos: (666.2, 355.0) | Vel: (112.7, -58.5) | Orient: -2.78 rad | AngVel: 0.53 | Speed: 127.0 | DistToTarget: 427.0 | Colliding: False | NearestObstacle: 143.3
Step 12 | Time: 0.200s | Pos: (667.8, 353.9) | Vel: (98.3, -67.3) | Orient: -2.76 rad | AngVel: 1.60 | Speed: 119.1 | DistToTarget: 428.1 | Colliding: False | NearestObstacle: 145.1
Step 13 | Time: 0.217s | Pos: (669.2, 352.6) | Vel: (83.0, -76.7) | Orient: -2.73 rad | AngVel: 1.69 | Speed: 113.0 | DistToTarget: 428.8 | Colliding: False | NearestObstacle: 146.6
Step 14 | Time: 0.233s | Pos: (670.3, 351.2) | Vel: (67.1, -86.6) | Orient: -2.71 rad | AngVel: 1.20 | Speed: 109.5 | DistToTarget: 429.2 | Colliding: False | NearestObstacle: 147.9
Step 15 | Time: 0.250s | Pos: (671.1, 349.6) | Vel: (50.5, -96.8) | Orient: -2.70 rad | AngVel: 0.52 | Speed: 109.2 | DistToTarget: 429.3 | Colliding: False | NearestObstacle: 148.9
Step 16 | Time: 0.267s | Pos: (671.7, 347.8) | Vel: (33.5, -107.1) | Orient: -2.70 rad | AngVel: -0.08 | Speed: 112.2 | DistToTarget: 429.1 | Colliding: False | NearestObstacle: 149.7
Step 17 | Time: 0.283s | Pos: (672.0, 345.8) | Vel: (16.3, -117.1) | Orient: -2.71 rad | AngVel: -0.47 | Speed: 118.2 | DistToTarget: 428.5 | Colliding: False | NearestObstacle: 150.3
Step 18 | Time: 0.300s | Pos: (672.0, 343.7) | Vel: (-0.8, -126.5) | Orient: -2.72 rad | AngVel: -0.64 | Speed: 126.5 | DistToTarget: 427.6 | Colliding: False | NearestObstacle: 150.6
Step 19 | Time: 0.317s | Pos: (671.7, 341.5) | Vel: (-17.2, -134.8) | Orient: -2.73 rad | AngVel: -0.63 | Speed: 135.9 | DistToTarget: 426.5 | Colliding: False | NearestObstacle: 150.8
Step 20 | Time: 0.333s | Pos: (671.1, 339.1) | Vel: (-32.5, -142.1) | Orient: -2.74 rad | AngVel: -0.53 | Speed: 145.7 | DistToTarget: 425.1 | Colliding: False | NearestObstacle: 150.7
Step 21 | Time: 0.350s | Pos: (670.4, 336.6) | Vel: (-46.3, -148.1) | Orient: -2.75 rad | AngVel: -0.40 | Speed: 155.2 | DistToTarget: 423.4 | Colliding: False | NearestObstacle: 150.4
