Step 0 | Time: 0.000s | Pos: (640.8, 359.4) | Vel: (50.1, -33.8) | Orient: -2.94 rad | AngVel: -7.21 | Speed: 60.4 | DistToTarget: 579.8 | Colliding: False | NearestObstacle: 151.1
Step 1 | Time: 0.017s | Pos: (642.4, 358.3) | Vel: (95.0, -65.4) | Orient: -3.09 rad | AngVel: -9.32 | Speed: 115.4 | DistToTarget: 581.5 | Colliding: False | NearestObstacle: 152.9
Step 2 | Time: 0.033s | Pos: (644.6, 356.8) | Vel: (130.2, -91.6) | Orient: 3.06 rad | AngVel: -7.96 | Speed: 159.2 | DistToTarget: 583.8 | Colliding: False | NearestObstacle: 155.4
Step 3 | Time: 0.050s | Pos: (647.1, 355.0) | Vel: (153.6, -110.9) | Orient: 2.97 rad | AngVel: -5.04 | Speed: 189.4 | DistToTarget: 586.6 | Colliding: False | NearestObstacle: 158.4
Step 4 | Time: 0.067s | Pos: (649.9, 352.9) | Vel: (166.1, -123.6) | Orient: 2.94 rad | AngVel: -2.05 | Speed: 207.1 | DistToTarget: 589.6 | Colliding: False | NearestObstacle: 161.7
Step 5 | Time: 0.083s | Pos: (652.8, 350.7) | Vel: (170.3, -131.2) | Orient: 2.94 rad | AngVel: 0.16 | Speed: 215.0 | DistToTarget: 592.7 | Colliding: False | NearestObstacle: 165.1
Step 6 | Time: 0.100s | Pos: (655.6, 348.5) | Vel: (168.6, -135.3) | Orient: 2.96 rad | AngVel: 1.30 | Speed: 216.2 | DistToTarget: 595.7 | Colliding: False | NearestObstacle: 168.5
Step 7 | Time: 0.117s | Pos: (658.3, 346.2) | Vel: (163.1, -137.3) | Orient: 2.99 rad | AngVel: 1.53 | Speed: 213.2 | DistToTarget: 598.7 | Colliding: False | NearestObstacle: 171.8
Step 8 | Time: 0.133s | Pos: (660.9, 343.9) | Vel: (155.2, -138.0) | Orient: 3.01 rad | AngVel: 1.18 | Speed: 207.7 | DistToTarget: 601.6 | Colliding: False | NearestObstacle: 175.0
Step 9 | Time: 0.150s | Pos: (663.3, 341.6) | Vel: (145.6, -138.0) | Orient: 3.02 rad | AngVel: 0.60 | Speed: 200.6 | DistToTarget: 604.3 | Colliding: False | NearestObstacle: 178.1
Step 10 | Time: 0.167s | Pos: (665.5, 339.3) | Vel: (135.0, -137.6) | Orient: 3.02 rad | AngVel: 0.05 | Speed: 192.8 | DistToTarget: 606.8 | Colliding: False | NearestObstacle: 181.0
Step 11 | Time: 0.183s | Pos: (667.6, 337.0) | Vel: (123.4, -137.1) | Orient: 3.01 rad | AngVel: -0.33 | Speed: 184.5 | DistToTarget: 609.2 | Colliding: False | NearestObstacle: 183.8
Step 12 | Time: 0.200s | Pos: (669.5, 334.7) | Vel: (111.2, -136.5) | Orient: 3.00 rad | AngVel: -0.51 | Speed: 176.1 | DistToTarget: 611.4 | Colliding: False | NearestObstacle: 186.3
Step 13 | Time: 0.217s | Pos: (671.1, 332.5) | Vel: (98.3, -136.0) | Orient: 3.00 rad | AngVel: -0.52 | Speed: 167.8 | DistToTarget: 613.3 | Colliding: False | NearestObstacle: 188.7
Step 14 | Time: 0.233s | Pos: (672.5, 330.2) | Vel: (84.8, -135.5) | Orient: 2.99 rad | AngVel: -0.44 | Speed: 159.8 | DistToTarget: 615.0 | Colliding: False | NearestObstacle: 190.9
Step 15 | Time: 0.250s | Pos: (673.7, 327.9) | Vel: (70.6, -135.0) | Orient: 2.98 rad | AngVel: -0.33 | Speed: 152.4 | DistToTarget: 616.6 | Colliding: False | NearestObstacle: 192.8
Step 16 | Time: 0.267s | Pos: (674.6, 325.7) | Vel: (55.8, -134.6) | Orient: 2.98 rad | AngVel: -0.23 | Speed: 145.7 | DistToTarget: 617.8 | Colliding: False | NearestObstacle: 194.5
Step 17 | Time: 0.283s | Pos: (675.3, 323.5) | Vel: (40.3, -134.1) | Orient: 2.98 rad | AngVel: -0.17 | Speed: 140.0 | DistToTarget: 618.8 | Colliding: False | NearestObstacle: 196.1
Step 18 | Time: 0.300s | Pos: (675.7, 321.2) | Vel: (24.0, -133.5) | Orient: 2.97 rad | AngVel: -0.14 | Speed: 135.7 | DistToTarget: 619.6 | Colliding: False | NearestObstacle: 197.3
Step 19 | Time: 0.317s | Pos: (675.8, 319.0) | Vel: (7.0, -132.8) | Orient: 2.97 rad | AngVel: -0.15 | Speed: 133.0 | DistToTarget: 620.1 | Colliding: False | NearestObstacle: 198.4
Step 20 | Time: 0.333s | Pos: (675.6, 316.8) | Vel: (-10.7, -131.7) | Orient: 2.97 rad | AngVel: -0.17 | Speed: 132.1 | DistToTarget: 620.3 | Colliding: False | NearestObstacle: 199.1
Step 21 | Time: 0.350s | Pos: (675.1, 314.7) | Vel: (-28.9, -130.2) | Orient: 2.97 rad | AngVel: -0.19 | Speed: 133.4 | DistToTarget: 620.2 | Colliding: False | NearestObstacle: 199.6
Step 22 | Time: 0.367s | Pos: (674.4, 312.5) | Vel: (-47.5, -128.1) | Orient: 2.96 rad | AngVel: -0.22 | Speed: 136.6 | DistToTarget: 619.8 | Colliding: False | NearestObstacle: 199.9
Step 23 | Time: 0.383s | Pos: (673.2, 310.4) | Vel: (-66.2, -125.4) | Orient: 2.96 rad | AngVel: -0.23 | Speed: 141.8 | DistToTarget: 619.1 | Colliding: False | NearestObstacle: 199.8
Step 24 | Time: 0.400s | Pos: (671.8, 308.4) | Vel: (-84.7, -121.9) | Orient: 2.95 rad | AngVel: -0.23 | Speed: 148.4 | DistToTarget: 618.1 | Colliding: False | NearestObstacle: 199.5
Step 25 | Time: 0.417s | Pos: (670.1, 306.4) | Vel: (-102.6, -117.7) | Orient: 2.95 rad | AngVel: -0.23 | Speed: 156.1 | DistToTarget: 616.8 | Colliding: False | NearestObstacle: 198.9
Step 26 | Time: 0.433s | Pos: (668.1, 304.6) | Vel: (-119.6, -113.0) | Orient: 2.95 rad | AngVel: -0.23 | Speed: 164.5 | DistToTarget: 615.2 | Colliding: False | NearestObstacle: 198.1
Step 27 | Time: 0.450s | Pos: (665.9, 302.8) | Vel: (-135.4, -107.7) | Orient: 2.94 rad | AngVel: -0.22 | Speed: 173.0 | DistToTarget: 613.3 | Colliding: False | NearestObstacle: 197.0
