Step 0 | Time: 0.000s | Pos: (641.1, 360.1) | Vel: (68.7, 4.7) | Orient: -1.33 rad | AngVel: -44.18 | Speed: 68.9 | DistToTarget: 370.4 | Colliding: False | NearestObstacle: 104.5
Step 1 | Time: 0.017s | Pos: (643.3, 360.2) | Vel: (130.7, 8.5) | Orient: -2.27 rad | AngVel: -56.56 | Speed: 131.0 | DistToTarget: 372.5 | Colliding: False | NearestObstacle: 106.5
Step 2 | Time: 0.033s | Pos: (646.3, 360.4) | Vel: (178.1, 10.3) | Orient: -3.06 rad | AngVel: -47.62 | Speed: 178.4 | DistToTarget: 375.5 | Colliding: False | NearestObstacle: 109.3
Step 3 | Time: 0.050s | Pos: (649.8, 360.6) | Vel: (208.2, 10.0) | Orient: 2.73 rad | AngVel: -29.46 | Speed: 208.5 | DistToTarget: 378.9 | Colliding: False | NearestObstacle: 112.5
Step 4 | Time: 0.067s | Pos: (653.5, 360.7) | Vel: (223.1, 7.6) | Orient: 2.54 rad | AngVel: -11.21 | Speed: 223.2 | DistToTarget: 382.6 | Colliding: False | NearestObstacle: 116.0
Step 5 | Time: 0.083s | Pos: (657.3, 360.7) | Vel: (226.9, 3.9) | Orient: 2.58 rad | AngVel: 2.13 | Speed: 226.9 | DistToTarget: 386.4 | Colliding: False | NearestObstacle: 119.5
Step 6 | Time: 0.100s | Pos: (661.0, 360.7) | Vel: (223.7, -0.8) | Orient: 2.73 rad | AngVel: 9.08 | Speed: 223.7 | DistToTarget: 390.1 | Colliding: False | NearestObstacle: 122.9
Step 7 | Time: 0.117s | Pos: (664.6, 360.6) | Vel: (216.3, -5.9) | Orient: 2.90 rad | AngVel: 10.49 | Speed: 216.4 | DistToTarget: 393.7 | Colliding: False | NearestObstacle: 126.2
Step 8 | Time: 0.133s | Pos: (668.0, 360.4) | Vel: (206.6, -11.5) | Orient: 3.04 rad | AngVel: 8.37 | Speed: 206.9 | DistToTarget: 397.1 | Colliding: False | NearestObstacle: 129.3
Step 9 | Time: 0.150s | Pos: (671.3, 360.2) | Vel: (195.5, -17.1) | Orient: 3.13 rad | AngVel: 4.85 | Speed: 196.2 | DistToTarget: 400.4 | Colliding: False | NearestObstacle: 132.2
Step 10 | Time: 0.167s | Pos: (674.4, 359.8) | Vel: (183.5, -22.9) | Orient: -3.13 rad | AngVel: 1.51 | Speed: 184.9 | DistToTarget: 403.5 | Colliding: False | NearestObstacle: 134.9
Step 11 | Time: 0.183s | Pos: (677.2, 359.3) | Vel: (171.0, -28.8) | Orient: 3.14 rad | AngVel: -0.81 | Speed: 173.4 | DistToTarget: 406.4 | Colliding: False | NearestObstacle: 137.5
Step 12 | Time: 0.200s | Pos: (679.8, 358.7) | Vel: (158.1, -34.7) | Orient: 3.11 rad | AngVel: -1.91 | Speed: 161.9 | DistToTarget: 409.0 | Colliding: False | NearestObstacle: 139.7
Step 13 | Time: 0.217s | Pos: (682.3, 358.0) | Vel: (144.9, -40.7) | Orient: 3.07 rad | AngVel: -2.02 | Speed: 150.5 | DistToTarget: 411.5 | Colliding: False | NearestObstacle: 141.8
Step 14 | Time: 0.233s | Pos: (684.4, 357.3) | Vel: (131.3, -46.7) | Orient: 3.05 rad | AngVel: -1.55 | Speed: 139.4 | DistToTarget: 413.8 | Colliding: False | NearestObstacle: 143.6
Step 15 | Time: 0.250s | Pos: (686.4, 356.4) | Vel: (117.4, -52.9) | Orient: 3.03 rad | AngVel: -0.88 | Speed: 128.8 | DistToTarget: 415.8 | Colliding: False | NearestObstacle: 145.2
Step 16 | Time: 0.267s | Pos: (688.1, 355.4) | Vel: (103.2, -59.1) | Orient: 3.03 rad | AngVel: -0.30 | Speed: 118.9 | DistToTarget: 417.6 | Colliding: False | NearestObstacle: 146.5
Step 17 | Time: 0.283s | Pos: (689.6, 354.3) | Vel: (88.5, -65.4) | Orient: 3.03 rad | AngVel: 0.08 | Speed: 110.1 | DistToTarget: 419.2 | Colliding: False | NearestObstacle: 147.6
Step 18 | Time: 0.300s | Pos: (690.8, 353.1) | Vel: (73.4, -71.8) | Orient: 3.03 rad | AngVel: 0.22 | Speed: 102.7 | DistToTarget: 420.5 | Colliding: False | NearestObstacle: 148.4
Step 19 | Time: 0.317s | Pos: (691.8, 351.8) | Vel: (57.9, -78.2) | Orient: 3.03 rad | AngVel: 0.19 | Speed: 97.3 | DistToTarget: 421.6 | Colliding: False | NearestObstacle: 149.0
Step 20 | Time: 0.333s | Pos: (692.5, 350.4) | Vel: (41.9, -84.4) | Orient: 3.04 rad | AngVel: 0.07 | Speed: 94.3 | DistToTarget: 422.5 | Colliding: False | NearestObstacle: 149.3
Step 21 | Time: 0.350s | Pos: (692.9, 348.9) | Vel: (25.5, -90.4) | Orient: 3.03 rad | AngVel: -0.08 | Speed: 94.0 | DistToTarget: 423.0 | Colliding: False | NearestObstacle: 149.3
Step 22 | Time: 0.367s | Pos: (693.1, 347.3) | Vel: (8.8, -96.0) | Orient: 3.03 rad | AngVel: -0.21 | Speed: 96.4 | DistToTarget: 423.4 | Colliding: False | NearestObstacle: 149.0
Step 23 | Time: 0.383s | Pos: (692.9, 345.6) | Vel: (-7.8, -100.8) | Orient: 3.03 rad | AngVel: -0.29 | Speed: 101.1 | DistToTarget: 423.4 | Colliding: False | NearestObstacle: 148.5
Step 24 | Time: 0.400s | Pos: (692.5, 343.9) | Vel: (-24.0, -104.7) | Orient: 3.02 rad | AngVel: -0.33 | Speed: 107.4 | DistToTarget: 423.3 | Colliding: False | NearestObstacle: 147.7
Step 25 | Time: 0.417s | Pos: (691.9, 342.1) | Vel: (-39.5, -107.5) | Orient: 3.01 rad | AngVel: -0.34 | Speed: 114.5 | DistToTarget: 422.8 | Colliding: False | NearestObstacle: 146.6
