Step 0 | Time: 0.000s | Pos: (638.8, 360.4) | Vel: (-71.9, 26.1) | Orient: 1.63 rad | AngVel: -49.89 | Speed: 76.5 | DistToTarget: 265.4 | Colliding: False | NearestObstacle: 104.4
Step 1 | Time: 0.017s | Pos: (636.5, 361.3) | Vel: (-136.7, 49.4) | Orient: 0.57 rad | AngVel: -63.82 | Speed: 145.4 | DistToTarget: 267.8 | Colliding: False | NearestObstacle: 106.9
Step 2 | Time: 0.033s | Pos: (633.4, 362.4) | Vel: (-185.7, 66.6) | Orient: -0.33 rad | AngVel: -53.66 | Speed: 197.2 | DistToTarget: 271.1 | Colliding: False | NearestObstacle: 110.1
Step 3 | Time: 0.050s | Pos: (629.8, 363.6) | Vel: (-215.9, 76.8) | Orient: -0.88 rad | AngVel: -33.15 | Speed: 229.1 | DistToTarget: 274.8 | Colliding: False | NearestObstacle: 114.0
Step 4 | Time: 0.067s | Pos: (626.0, 365.0) | Vel: (-230.2, 81.0) | Orient: -1.09 rad | AngVel: -12.58 | Speed: 244.1 | DistToTarget: 278.8 | Colliding: False | NearestObstacle: 118.0
Step 5 | Time: 0.083s | Pos: (622.1, 366.4) | Vel: (-233.9, 81.3) | Orient: -1.05 rad | AngVel: 2.45 | Speed: 247.7 | DistToTarget: 282.9 | Colliding: False | NearestObstacle: 122.1
Step 6 | Time: 0.100s | Pos: (618.2, 367.7) | Vel: (-231.3, 79.2) | Orient: -0.88 rad | AngVel: 10.29 | Speed: 244.5 | DistToTarget: 286.9 | Colliding: False | NearestObstacle: 126.2
Step 7 | Time: 0.117s | Pos: (614.5, 368.9) | Vel: (-225.3, 75.9) | Orient: -0.68 rad | AngVel: 11.90 | Speed: 237.7 | DistToTarget: 290.8 | Colliding: False | NearestObstacle: 130.2
Step 8 | Time: 0.133s | Pos: (610.9, 370.1) | Vel: (-217.6, 71.8) | Orient: -0.52 rad | AngVel: 9.54 | Speed: 229.2 | DistToTarget: 294.5 | Colliding: False | NearestObstacle: 134.0
Step 9 | Time: 0.150s | Pos: (607.4, 371.3) | Vel: (-209.1, 67.5) | Orient: -0.43 rad | AngVel: 5.60 | Speed: 219.7 | DistToTarget: 298.1 | Colliding: False | NearestObstacle: 137.6
Step 10 | Time: 0.167s | Pos: (604.0, 372.3) | Vel: (-200.2, 62.9) | Orient: -0.39 rad | AngVel: 1.87 | Speed: 209.9 | DistToTarget: 301.5 | Colliding: False | NearestObstacle: 141.1
Step 11 | Time: 0.183s | Pos: (600.8, 373.3) | Vel: (-191.2, 58.3) | Orient: -0.41 rad | AngVel: -0.73 | Speed: 199.9 | DistToTarget: 304.8 | Colliding: False | NearestObstacle: 144.4
Step 12 | Time: 0.200s | Pos: (597.8, 374.2) | Vel: (-182.3, 53.7) | Orient: -0.44 rad | AngVel: -1.95 | Speed: 190.0 | DistToTarget: 307.9 | Colliding: False | NearestObstacle: 147.6
Step 13 | Time: 0.217s | Pos: (594.9, 375.0) | Vel: (-173.4, 49.0) | Orient: -0.47 rad | AngVel: -2.07 | Speed: 180.1 | DistToTarget: 310.8 | Colliding: False | NearestObstacle: 150.6
Step 14 | Time: 0.233s | Pos: (592.2, 375.7) | Vel: (-164.5, 44.2) | Orient: -0.50 rad | AngVel: -1.53 | Speed: 170.3 | DistToTarget: 313.6 | Colliding: False | NearestObstacle: 153.4
Step 15 | Time: 0.250s | Pos: (589.6, 376.4) | Vel: (-155.7, 39.5) | Orient: -0.51 rad | AngVel: -0.76 | Speed: 160.6 | DistToTarget: 316.2 | Colliding: False | NearestObstacle: 156.0
Step 16 | Time: 0.267s | Pos: (587.1, 377.0) | Vel: (-146.9, 34.6) | Orient: -0.51 rad | AngVel: -0.08 | Speed: 150.9 | DistToTarget: 318.6 | Colliding: False | NearestObstacle: 158.5
Step 17 | Time: 0.283s | Pos: (584.8, 377.5) | Vel: (-138.2, 29.7) | Orient: -0.51 rad | AngVel: 0.36 | Speed: 141.3 | DistToTarget: 320.9 | Colliding: False | NearestObstacle: 160.9
Step 18 | Time: 0.300s | Pos: (582.7, 377.9) | Vel: (-129.4, 24.6) | Orient: -0.50 rad | AngVel: 0.54 | Speed: 131.7 | DistToTarget: 323.0 | Colliding: False | NearestObstacle: 163.0
Step 19 | Time: 0.317s | Pos: (580.7, 378.2) | Vel: (-120.5, 19.5) | Orient: -0.49 rad | AngVel: 0.53 | Speed: 122.1 | DistToTarget: 324.9 | Colliding: False | NearestObstacle: 165.0
Step 20 | Time: 0.333s | Pos: (578.8, 378.4) | Vel: (-111.6, 14.2) | Orient: -0.48 rad | AngVel: 0.41 | Speed: 112.5 | DistToTarget: 326.6 | Colliding: False | NearestObstacle: 166.8
Step 21 | Time: 0.350s | Pos: (577.1, 378.6) | Vel: (-102.6, 8.6) | Orient: -0.48 rad | AngVel: 0.26 | Speed: 103.0 | DistToTarget: 328.2 | Colliding: False | NearestObstacle: 168.5
Step 22 | Time: 0.367s | Pos: (575.5, 378.6) | Vel: (-93.4, 2.9) | Orient: -0.48 rad | AngVel: 0.14 | Speed: 93.4 | DistToTarget: 329.6 | Colliding: False | NearestObstacle: 170.0
Step 23 | Time: 0.383s | Pos: (574.1, 378.6) | Vel: (-84.0, -3.1) | Orient: -0.48 rad | AngVel: 0.07 | Speed: 84.1 | DistToTarget: 330.8 | Colliding: False | NearestObstacle: 171.3
Step 24 | Time: 0.400s | Pos: (572.9, 378.4) | Vel: (-74.3, -9.4) | Orient: -0.47 rad | AngVel: 0.04 | Speed: 74.9 | DistToTarget: 331.9 | Colliding: False | NearestObstacle: 172.4
Step 25 | Time: 0.417s | Pos: (571.8, 378.1) | Vel: (-64.4, -16.0) | Orient: -0.47 rad | AngVel: 0.05 | Speed: 66.3 | DistToTarget: 332.7 | Colliding: False | NearestObstacle: 173.3
Step 26 | Time: 0.433s | Pos: (570.9, 377.8) | Vel: (-54.0, -23.0) | Orient: -0.47 rad | AngVel: 0.08 | Speed: 58.7 | DistToTarget: 333.3 | Colliding: False | NearestObstacle: 174.0
Step 27 | Time: 0.450s | Pos: (570.2, 377.3) | Vel: (-43.2, -30.4) | Orient: -0.47 rad | AngVel: 0.12 | Speed: 52.8 | DistToTarget: 333.7 | Colliding: False | NearestObstacle: 174.5
Step 28 | Time: 0.467s | Pos: (569.7, 376.6) | Vel: (-31.8, -38.2) | Orient: -0.47 rad | AngVel: 0.14 | Speed: 49.7 | DistToTarget: 333.9 | Colliding: False | NearestObstacle: 174.8
Step 29 | Time: 0.483s | Pos: (569.3, 375.9) | Vel: (-19.8, -46.3) | Orient: -0.47 rad | AngVel: 0.16 | Speed: 50.4 | DistToTarget: 333.9 | Colliding: False | NearestObstacle: 174.9
Step 30 | Time: 0.500s | Pos: (569.2, 374.9) | Vel: (-7.3, -54.6) | Orient: -0.46 rad | AngVel: 0.17 | Speed: 55.1 | DistToTarget: 333.6 | Colliding: False | NearestObstacle: 174.7
Step 31 | Time: 0.517s | Pos: (569.3, 373.9) | Vel: (5.8, -62.8) | Orient: -0.46 rad | AngVel: 0.17 | Speed: 63.1 | DistToTarget: 333.0 | Colliding: False | NearestObstacle: 174.3
Step 32 | Time: 0.533s | Pos: (569.6, 372.7) | Vel: (19.1, -70.7) | Orient: -0.46 rad | AngVel: 0.18 | Speed: 73.3 | DistToTarget: 332.2 | Colliding: False | NearestObstacle: 173.6
Step 33 | Time: 0.550s | Pos: (570.2, 371.4) | Vel: (32.3, -78.1) | Orient: -0.45 rad | AngVel: 0.17 | Speed: 84.5 | DistToTarget: 331.2 | Colliding: False | NearestObstacle: 172.7
Step 34 | Time: 0.567s | Pos: (570.9, 370.0) | Vel: (45.0, -84.6) | Orient: -0.45 rad | AngVel: 0.17 | Speed: 95.9 | DistToTarget: 329.9 | Colliding: False | NearestObstacle: 171.5
Step 35 | Time: 0.583s | Pos: (571.9, 368.5) | Vel: (57.0, -90.3) | Orient: -0.45 rad | AngVel: 0.17 | Speed: 106.8 | DistToTarget: 328.4 | Colliding: False | NearestObstacle: 170.2
Step 36 | Time: 0.600s | Pos: (573.0, 366.9) | Vel: (67.8, -95.0) | Orient: -0.44 rad | AngVel: 0.17 | Speed: 116.8 | DistToTarget: 326.7 | Colliding: False | NearestObstacle: 168.6
Step 37 | Time: 0.617s | Pos: (574.3, 365.3) | Vel: (77.5, -98.9) | Orient: -0.44 rad | AngVel: 0.17 | Speed: 125.6 | DistToTarget: 324.8 | Colliding: False | NearestObstacle: 166.9
Step 38 | Time: 0.633s | Pos: (575.7, 363.6) | Vel: (85.9, -101.9) | Orient: -0.44 rad | AngVel: 0.17 | Speed: 133.2 | DistToTarget: 322.8 | Colliding: False | NearestObstacle: 165.1
Step 39 | Time: 0.650s | Pos: (577.3, 361.8) | Vel: (92.9, -104.2) | Orient: -0.44 rad | AngVel: 0.17 | Speed: 139.6 | DistToTarget: 320.6 | Colliding: False | NearestObstacle: 163.1
Step 40 | Time: 0.667s | Pos: (578.9, 360.1) | Vel: (98.7, -106.0) | Orient: -0.43 rad | AngVel: 0.17 | Speed: 144.8 | DistToTarget: 318.4 | Colliding: False | NearestObstacle: 161.0
Step 41 | Time: 0.683s | Pos: (580.7, 358.3) | Vel: (103.3, -107.3) | Orient: -0.43 rad | AngVel: 0.17 | Speed: 149.0 | DistToTarget: 316.1 | Colliding: False | NearestObstacle: 158.9
Step 42 | Time: 0.700s | Pos: (582.4, 356.5) | Vel: (106.9, -108.4) | Orient: -0.43 rad | AngVel: 0.17 | Speed: 152.3 | DistToTarget: 313.7 | Colliding: False | NearestObstacle: 156.7
Step 43 | Time: 0.717s | Pos: (584.3, 354.6) | Vel: (109.6, -109.3) | Orient: -0.42 rad | AngVel: 0.17 | Speed: 154.7 | DistToTarget: 311.3 | Colliding: False | NearestObstacle: 154.5
