Step 0 | Time: 0.000s | Pos: (639.2, 361.1) | Vel: (-45.3, 65.0) | Orient: 0.56 rad | AngVel: 87.64 | Speed: 79.2 | DistToTarget: 266.4 | Colliding: False | NearestObstacle: 117.5
Step 1 | Time: 0.017s | Pos: (637.8, 363.1) | Vel: (-87.4, 123.8) | Orient: -2.05 rad | AngVel: -156.56 | Speed: 151.5 | DistToTarget: 267.8 | Colliding: False | NearestObstacle: 119.5
Step 2 | Time: 0.033s | Pos: (635.8, 366.0) | Vel: (-120.8, 168.4) | Orient: 2.87 rad | AngVel: -82.06 | Speed: 207.3 | DistToTarget: 269.8 | Colliding: False | NearestObstacle: 122.3
Step 3 | Time: 0.050s | Pos: (633.4, 369.2) | Vel: (-143.3, 196.2) | Orient: 2.54 rad | AngVel: -19.82 | Speed: 243.0 | DistToTarget: 272.1 | Colliding: False | NearestObstacle: 125.6
Step 4 | Time: 0.067s | Pos: (630.8, 372.7) | Vel: (-156.5, 209.5) | Orient: 2.87 rad | AngVel: 20.10 | Speed: 261.4 | DistToTarget: 274.7 | Colliding: False | NearestObstacle: 129.1
Step 5 | Time: 0.083s | Pos: (628.1, 376.3) | Vel: (-163.1, 212.8) | Orient: -2.79 rad | AngVel: 37.22 | Speed: 268.2 | DistToTarget: 277.2 | Colliding: False | NearestObstacle: 132.7
Step 6 | Time: 0.100s | Pos: (625.3, 379.8) | Vel: (-166.0, 210.3) | Orient: -2.18 rad | AngVel: 36.63 | Speed: 267.9 | DistToTarget: 279.8 | Colliding: False | NearestObstacle: 136.4
Step 7 | Time: 0.117s | Pos: (622.5, 383.2) | Vel: (-166.8, 204.5) | Orient: -1.74 rad | AngVel: 26.34 | Speed: 263.9 | DistToTarget: 282.4 | Colliding: False | NearestObstacle: 140.0
Step 8 | Time: 0.133s | Pos: (619.7, 386.5) | Vel: (-166.5, 196.9) | Orient: -1.52 rad | AngVel: 13.52 | Speed: 257.9 | DistToTarget: 284.8 | Colliding: False | NearestObstacle: 143.5
Step 9 | Time: 0.150s | Pos: (617.0, 389.6) | Vel: (-165.8, 188.4) | Orient: -1.47 rad | AngVel: 2.79 | Speed: 251.0 | DistToTarget: 287.2 | Colliding: False | NearestObstacle: 146.9
Step 10 | Time: 0.167s | Pos: (614.2, 392.6) | Vel: (-164.8, 179.4) | Orient: -1.53 rad | AngVel: -3.84 | Speed: 243.6 | DistToTarget: 289.5 | Colliding: False | NearestObstacle: 150.1
Step 11 | Time: 0.183s | Pos: (611.5, 395.4) | Vel: (-163.8, 170.0) | Orient: -1.64 rad | AngVel: -6.34 | Speed: 236.1 | DistToTarget: 291.6 | Colliding: False | NearestObstacle: 153.3
Step 12 | Time: 0.200s | Pos: (608.8, 398.1) | Vel: (-162.8, 160.5) | Orient: -1.74 rad | AngVel: -5.80 | Speed: 228.6 | DistToTarget: 293.6 | Colliding: False | NearestObstacle: 156.3
Step 13 | Time: 0.217s | Pos: (606.1, 400.6) | Vel: (-161.8, 150.8) | Orient: -1.80 rad | AngVel: -3.72 | Speed: 221.2 | DistToTarget: 295.6 | Colliding: False | NearestObstacle: 159.2
Step 14 | Time: 0.233s | Pos: (603.4, 403.0) | Vel: (-161.0, 140.9) | Orient: -1.82 rad | AngVel: -1.34 | Speed: 213.9 | DistToTarget: 297.4 | Colliding: False | NearestObstacle: 162.0
Step 15 | Time: 0.250s | Pos: (600.7, 405.1) | Vel: (-160.1, 131.0) | Orient: -1.81 rad | AngVel: 0.55 | Speed: 206.9 | DistToTarget: 299.0 | Colliding: False | NearestObstacle: 164.6
Step 16 | Time: 0.267s | Pos: (598.1, 407.2) | Vel: (-159.4, 120.9) | Orient: -1.78 rad | AngVel: 1.62 | Speed: 200.0 | DistToTarget: 300.6 | Colliding: False | NearestObstacle: 167.0
Step 17 | Time: 0.283s | Pos: (595.4, 409.0) | Vel: (-158.7, 110.6) | Orient: -1.75 rad | AngVel: 1.94 | Speed: 193.5 | DistToTarget: 301.9 | Colliding: False | NearestObstacle: 169.4
Step 18 | Time: 0.300s | Pos: (592.8, 410.7) | Vel: (-158.0, 100.2) | Orient: -1.72 rad | AngVel: 1.73 | Speed: 187.1 | DistToTarget: 303.2 | Colliding: False | NearestObstacle: 171.5
Step 19 | Time: 0.317s | Pos: (590.2, 412.2) | Vel: (-157.4, 89.6) | Orient: -1.70 rad | AngVel: 1.29 | Speed: 181.1 | DistToTarget: 304.3 | Colliding: False | NearestObstacle: 173.6
Step 20 | Time: 0.333s | Pos: (587.6, 413.5) | Vel: (-156.8, 78.8) | Orient: -1.69 rad | AngVel: 0.83 | Speed: 175.5 | DistToTarget: 305.3 | Colliding: False | NearestObstacle: 175.4
Step 21 | Time: 0.350s | Pos: (585.0, 414.6) | Vel: (-156.2, 67.7) | Orient: -1.68 rad | AngVel: 0.48 | Speed: 170.3 | DistToTarget: 306.0 | Colliding: False | NearestObstacle: 177.2
Step 22 | Time: 0.367s | Pos: (582.4, 415.5) | Vel: (-155.6, 56.4) | Orient: -1.67 rad | AngVel: 0.30 | Speed: 165.5 | DistToTarget: 306.7 | Colliding: False | NearestObstacle: 178.7
Step 23 | Time: 0.383s | Pos: (579.8, 416.3) | Vel: (-154.9, 44.9) | Orient: -1.67 rad | AngVel: 0.25 | Speed: 161.3 | DistToTarget: 307.1 | Colliding: False | NearestObstacle: 180.1
Step 24 | Time: 0.400s | Pos: (577.2, 416.8) | Vel: (-154.2, 33.1) | Orient: -1.66 rad | AngVel: 0.30 | Speed: 157.7 | DistToTarget: 307.4 | Colliding: False | NearestObstacle: 181.3
Step 25 | Time: 0.417s | Pos: (574.7, 417.2) | Vel: (-153.3, 21.0) | Orient: -1.66 rad | AngVel: 0.38 | Speed: 154.7 | DistToTarget: 307.6 | Colliding: False | NearestObstacle: 182.4
Step 26 | Time: 0.433s | Pos: (572.1, 417.3) | Vel: (-152.3, 8.7) | Orient: -1.65 rad | AngVel: 0.46 | Speed: 152.5 | DistToTarget: 307.5 | Colliding: False | NearestObstacle: 183.3
Step 27 | Time: 0.450s | Pos: (569.6, 417.3) | Vel: (-151.0, -3.7) | Orient: -1.64 rad | AngVel: 0.51 | Speed: 151.1 | DistToTarget: 307.2 | Colliding: False | NearestObstacle: 184.0
Step 28 | Time: 0.467s | Pos: (567.1, 417.0) | Vel: (-149.6, -16.4) | Orient: -1.63 rad | AngVel: 0.53 | Speed: 150.5 | DistToTarget: 306.8 | Colliding: False | NearestObstacle: 184.5
Step 29 | Time: 0.483s | Pos: (564.6, 416.5) | Vel: (-147.9, -29.0) | Orient: -1.62 rad | AngVel: 0.53 | Speed: 150.7 | DistToTarget: 306.2 | Colliding: False | NearestObstacle: 184.8
Step 30 | Time: 0.500s | Pos: (562.2, 415.8) | Vel: (-145.9, -41.7) | Orient: -1.62 rad | AngVel: 0.51 | Speed: 151.7 | DistToTarget: 305.4 | Colliding: False | NearestObstacle: 185.0
Step 31 | Time: 0.517s | Pos: (559.8, 414.9) | Vel: (-143.6, -54.3) | Orient: -1.61 rad | AngVel: 0.48 | Speed: 153.5 | DistToTarget: 304.4 | Colliding: False | NearestObstacle: 185.0
Step 32 | Time: 0.533s | Pos: (557.5, 413.8) | Vel: (-141.0, -66.6) | Orient: -1.60 rad | AngVel: 0.46 | Speed: 156.0 | DistToTarget: 303.2 | Colliding: False | NearestObstacle: 184.8
Step 33 | Time: 0.550s | Pos: (555.2, 412.5) | Vel: (-138.2, -78.6) | Orient: -1.59 rad | AngVel: 0.44 | Speed: 159.0 | DistToTarget: 301.8 | Colliding: False | NearestObstacle: 184.4
Step 34 | Time: 0.567s | Pos: (552.9, 411.0) | Vel: (-135.1, -90.2) | Orient: -1.59 rad | AngVel: 0.43 | Speed: 162.4 | DistToTarget: 300.3 | Colliding: False | NearestObstacle: 183.9
Step 35 | Time: 0.583s | Pos: (550.7, 409.3) | Vel: (-131.8, -101.2) | Orient: -1.58 rad | AngVel: 0.43 | Speed: 166.2 | DistToTarget: 298.5 | Colliding: False | NearestObstacle: 183.2
