Step 0 | Time: 0.000s | Pos: (639.6, 360.5) | Vel: (-26.1, 28.5) | Orient: -1.92 rad | AngVel: 30.14 | Speed: 38.6 | DistToTarget: 407.4 | Colliding: False | NearestObstacle: 114.2
Step 1 | Time: 0.017s | Pos: (638.7, 361.4) | Vel: (-49.7, 54.2) | Orient: -1.28 rad | AngVel: 38.66 | Speed: 73.5 | DistToTarget: 408.6 | Colliding: False | NearestObstacle: 115.3
Step 2 | Time: 0.033s | Pos: (637.6, 362.6) | Vel: (-69.0, 74.8) | Orient: -0.73 rad | AngVel: 32.63 | Speed: 101.8 | DistToTarget: 410.3 | Colliding: False | NearestObstacle: 116.9
Step 3 | Time: 0.050s | Pos: (636.2, 364.1) | Vel: (-83.2, 88.8) | Orient: -0.40 rad | AngVel: 20.20 | Speed: 121.7 | DistToTarget: 412.3 | Colliding: False | NearestObstacle: 118.9
Step 4 | Time: 0.067s | Pos: (634.7, 365.7) | Vel: (-92.2, 96.3) | Orient: -0.27 rad | AngVel: 7.65 | Speed: 133.3 | DistToTarget: 414.5 | Colliding: False | NearestObstacle: 121.0
Step 5 | Time: 0.083s | Pos: (633.1, 367.3) | Vel: (-96.7, 97.8) | Orient: -0.29 rad | AngVel: -1.54 | Speed: 137.5 | DistToTarget: 416.7 | Colliding: False | NearestObstacle: 123.1
Step 6 | Time: 0.100s | Pos: (631.4, 368.9) | Vel: (-97.6, 94.5) | Orient: -0.40 rad | AngVel: -6.32 | Speed: 135.8 | DistToTarget: 419.0 | Colliding: False | NearestObstacle: 125.2
Step 7 | Time: 0.117s | Pos: (629.8, 370.4) | Vel: (-95.8, 87.5) | Orient: -0.52 rad | AngVel: -7.27 | Speed: 129.8 | DistToTarget: 421.1 | Colliding: False | NearestObstacle: 127.3
Step 8 | Time: 0.133s | Pos: (628.3, 371.7) | Vel: (-92.2, 77.8) | Orient: -0.62 rad | AngVel: -5.79 | Speed: 120.6 | DistToTarget: 423.1 | Colliding: False | NearestObstacle: 128.1
Step 9 | Time: 0.150s | Pos: (626.8, 372.8) | Vel: (-87.2, 65.9) | Orient: -0.67 rad | AngVel: -3.35 | Speed: 109.3 | DistToTarget: 424.9 | Colliding: False | NearestObstacle: 126.5
Step 10 | Time: 0.167s | Pos: (625.5, 373.6) | Vel: (-81.4, 52.4) | Orient: -0.69 rad | AngVel: -1.04 | Speed: 96.8 | DistToTarget: 426.5 | Colliding: False | NearestObstacle: 125.2
Step 11 | Time: 0.183s | Pos: (624.2, 374.3) | Vel: (-74.9, 37.6) | Orient: -0.68 rad | AngVel: 0.57 | Speed: 83.9 | DistToTarget: 427.9 | Colliding: False | NearestObstacle: 124.2
Step 12 | Time: 0.200s | Pos: (623.1, 374.6) | Vel: (-68.0, 21.8) | Orient: -0.66 rad | AngVel: 1.34 | Speed: 71.4 | DistToTarget: 429.1 | Colliding: False | NearestObstacle: 123.4
Step 13 | Time: 0.217s | Pos: (622.1, 374.7) | Vel: (-60.7, 5.0) | Orient: -0.63 rad | AngVel: 1.42 | Speed: 60.9 | DistToTarget: 429.9 | Colliding: False | NearestObstacle: 122.9
Step 14 | Time: 0.233s | Pos: (621.2, 374.5) | Vel: (-53.1, -12.6) | Orient: -0.62 rad | AngVel: 1.11 | Speed: 54.6 | DistToTarget: 430.5 | Colliding: False | NearestObstacle: 122.8
Step 15 | Time: 0.250s | Pos: (620.4, 374.0) | Vel: (-45.1, -30.8) | Orient: -0.61 rad | AngVel: 0.66 | Speed: 54.6 | DistToTarget: 430.8 | Colliding: False | NearestObstacle: 123.0
Step 16 | Time: 0.267s | Pos: (619.8, 373.2) | Vel: (-36.7, -49.0) | Orient: -0.60 rad | AngVel: 0.26 | Speed: 61.3 | DistToTarget: 430.9 | Colliding: False | NearestObstacle: 123.5
Step 17 | Time: 0.283s | Pos: (619.4, 372.1) | Vel: (-28.0, -66.6) | Orient: -0.60 rad | AngVel: 0.02 | Speed: 72.2 | DistToTarget: 430.6 | Colliding: False | NearestObstacle: 124.4
Step 18 | Time: 0.300s | Pos: (619.1, 370.7) | Vel: (-19.1, -82.5) | Orient: -0.60 rad | AngVel: -0.07 | Speed: 84.7 | DistToTarget: 430.1 | Colliding: False | NearestObstacle: 125.6
Step 19 | Time: 0.317s | Pos: (618.9, 369.1) | Vel: (-10.6, -96.2) | Orient: -0.60 rad | AngVel: -0.04 | Speed: 96.8 | DistToTarget: 429.3 | Colliding: False | NearestObstacle: 127.0
Step 20 | Time: 0.333s | Pos: (618.8, 367.3) | Vel: (-2.6, -107.1) | Orient: -0.60 rad | AngVel: 0.05 | Speed: 107.1 | DistToTarget: 428.4 | Colliding: False | NearestObstacle: 128.7
Step 21 | Time: 0.350s | Pos: (618.9, 365.4) | Vel: (4.3, -115.0) | Orient: -0.60 rad | AngVel: 0.15 | Speed: 115.1 | DistToTarget: 427.2 | Colliding: False | NearestObstacle: 128.1
Step 22 | Time: 0.367s | Pos: (619.1, 363.4) | Vel: (10.2, -120.0) | Orient: -0.60 rad | AngVel: 0.23 | Speed: 120.4 | DistToTarget: 426.0 | Colliding: False | NearestObstacle: 126.3
Step 23 | Time: 0.383s | Pos: (619.3, 361.3) | Vel: (15.0, -122.3) | Orient: -0.59 rad | AngVel: 0.27 | Speed: 123.2 | DistToTarget: 424.6 | Colliding: False | NearestObstacle: 124.4
Step 24 | Time: 0.400s | Pos: (619.6, 359.3) | Vel: (18.6, -122.4) | Orient: -0.59 rad | AngVel: 0.28 | Speed: 123.8 | DistToTarget: 423.2 | Colliding: False | NearestObstacle: 122.5
Step 25 | Time: 0.417s | Pos: (620.0, 357.3) | Vel: (21.1, -120.7) | Orient: -0.58 rad | AngVel: 0.27 | Speed: 122.5 | DistToTarget: 421.8 | Colliding: False | NearestObstacle: 120.6
Step 26 | Time: 0.433s | Pos: (620.4, 355.3) | Vel: (22.8, -117.5) | Orient: -0.58 rad | AngVel: 0.24 | Speed: 119.6 | DistToTarget: 420.4 | Colliding: False | NearestObstacle: 118.7
Step 27 | Time: 0.450s | Pos: (620.8, 353.5) | Vel: (23.7, -113.0) | Orient: -0.57 rad | AngVel: 0.21 | Speed: 115.5 | DistToTarget: 419.1 | Colliding: False | NearestObstacle: 116.9
Step 28 | Time: 0.467s | Pos: (621.2, 351.7) | Vel: (23.9, -107.7) | Orient: -0.57 rad | AngVel: 0.19 | Speed: 110.4 | DistToTarget: 417.8 | Colliding: False | NearestObstacle: 115.2
Step 29 | Time: 0.483s | Pos: (621.6, 350.0) | Vel: (23.6, -101.7) | Orient: -0.57 rad | AngVel: 0.17 | Speed: 104.4 | DistToTarget: 416.5 | Colliding: False | NearestObstacle: 113.6
Step 30 | Time: 0.500s | Pos: (621.9, 348.4) | Vel: (22.9, -95.2) | Orient: -0.57 rad | AngVel: 0.16 | Speed: 98.0 | DistToTarget: 415.3 | Colliding: False | NearestObstacle: 112.0
Step 31 | Time: 0.517s | Pos: (622.3, 346.9) | Vel: (22.0, -88.4) | Orient: -0.56 rad | AngVel: 0.14 | Speed: 91.1 | DistToTarget: 414.2 | Colliding: False | NearestObstacle: 110.6
Step 32 | Time: 0.533s | Pos: (622.6, 345.5) | Vel: (20.8, -81.3) | Orient: -0.56 rad | AngVel: 0.14 | Speed: 83.9 | DistToTarget: 413.2 | Colliding: False | NearestObstacle: 109.3
Step 33 | Time: 0.550s | Pos: (623.0, 344.3) | Vel: (19.6, -74.0) | Orient: -0.56 rad | AngVel: 0.13 | Speed: 76.5 | DistToTarget: 412.3 | Colliding: False | NearestObstacle: 108.1
Step 34 | Time: 0.567s | Pos: (623.3, 343.2) | Vel: (18.3, -66.6) | Orient: -0.56 rad | AngVel: 0.12 | Speed: 69.1 | DistToTarget: 411.4 | Colliding: False | NearestObstacle: 107.0
